rollout/episodes,total/epochs,rollout/episode_steps,total/duration,reference_perturbed_action_std,train/loss_actor,total/episodes,total/steps,train/param_noise_distance,rollout/return,rollout/actions_mean,reference_action_std,reference_actor_Q_std,total/steps_per_second,reference_perturbed_action_mean,reference_Q_std,rollout/actions_std,reference_Q_mean,rollout/Q_mean,param_noise_stddev,obs_rms_std,obs_rms_mean,reference_action_mean,reference_actor_Q_mean,rollout/return_history,train/loss_critic
360.0,18,1582.81111111,2945.7039547,0.903799712658,-9426.39955078,360.0,569812,,116622.451802,0.0371614287269,0.90849250555,3093.46899414,193.43831178,-0.0267062857747,3091.83911133,0.412669702854,9448.75390625,9724.24931724,0.0682844203499,0.200472056866,0.244198054075,-0.00393705256283,9473.17285156,149525.452129,43315.3029688
380.0,19,1605.98157895,3151.36365104,0.93067920208,-9359.14792969,380.0,610273,,119012.419719,0.0376397345646,0.912615597248,3020.82495117,193.653626677,-0.19674423337,3030.47094727,0.41020522227,9374.23339844,9709.96359944,0.0682844203499,0.200488492846,0.24436378479,-0.0799275264144,9402.4765625,153135.476764,50950.5433789
400.0,20,1588.5775,3297.30828619,0.888193190098,-9260.69132812,400.0,635431,,117607.161341,0.0388609278679,0.906255245209,3005.06420898,192.712038077,0.0814250856638,3020.14013672,0.41365094069,9278.30859375,9681.58563347,0.0682844203499,0.200491279364,0.244441926479,0.0172832515091,9305.8671875,146836.563565,44561.56625
420.0,21,1619.47142857,3518.8980844,0.905790269375,-9439.33404297,420.0,680178,,121087.952646,0.0381230274991,0.912581682205,2973.70507812,193.292895584,-0.0751687437296,2984.42382812,0.409748478569,9251.36035156,9704.05923979,0.0682844203499,0.200477868319,0.244653359056,-0.0923356935382,9279.453125,158141.365751,30914.1716211
440.0,22,1632.96818182,3715.41048265,0.910387992859,-9320.27773438,440.0,718506,,123457.097259,0.0378983769532,0.911710083485,2883.09106445,193.385361686,-0.157298311591,2900.25561523,0.407319166582,9291.11425781,9729.41947142,0.0696569371989,0.200491353869,0.244827032089,-0.0773678049445,9322.03515625,157514.428312,33638.3768164
460.0,23,1656.5673913,3917.43995309,0.897686183453,-9299.08273438,460.0,762021,,126412.476675,0.0368837390967,0.913691580296,2897.72705078,194.520148139,-0.0689540877938,2909.29638672,0.404684146541,9261.9921875,9742.5735501,0.0696569371989,0.200493991375,0.244992136955,-0.0585858374834,9287.83984375,161656.566218,48291.8429688
480.0,24,1681.56666667,4140.44859433,0.925259232521,-9516.06763672,480.0,807152,,130362.039843,0.0364844766062,0.920117616653,2946.88842773,194.943127927,0.0430981814861,2965.36206055,0.40094137633,9224.99609375,9792.67852193,0.0696569371989,0.200474455953,0.245227023959,-0.0215571094304,9254.67675781,173490.596315,39294.4589063
500.0,25,1717.76,4386.8711729,0.924117565155,-9389.44783203,500.0,858880,,134664.190837,0.0368996861891,0.923068642616,3001.04931641,195.784185618,-0.114239513874,3001.43041992,0.398991295717,9131.9140625,9816.41505151,0.0696569371989,0.200454652309,0.245475724339,-0.0442336089909,9165.16699219,202892.308819,83962.8638672
520.0,26,1764.82115385,4658.89554548,0.909639000893,-9623.56419922,520.0,917707,,142107.769239,0.0363516964132,0.91209936142,3015.38598633,196.979518223,-0.116798818111,3023.61914062,0.392109133025,9171.45214844,9942.79158426,0.0754284815394,0.200500100851,0.245931297541,-0.0952071398497,9208.47949219,230390.998932,45912.4732422
540.0,27,1765.52962963,4824.84001422,0.912614166737,-9635.74224609,540.0,953386,,143407.180166,0.0362205231948,0.91295582056,3053.15942383,197.599505308,-0.0198544934392,3059.84814453,0.390818066323,9195.75,9964.26446871,0.0669389475051,0.200489401817,0.246087953448,-0.0651937872171,9230.6953125,231187.544956,31080.0330664
560.0,28,1783.16785714,5037.11791515,0.925592899323,-9599.85259766,560.0,998574,,146410.70348,0.0363923949289,0.911158144474,3076.87524414,198.243125696,-0.0473893210292,3078.15209961,0.389295194483,9192.58398438,9986.14833585,0.0669389475051,0.200430542231,0.246241271496,-0.0362839624286,9225.75,238402.546784,27030.4132324
580.0,29,1789.3862069,5236.06987262,0.878395140171,-9686.34867187,580.0,1037844,,148117.826743,0.0363724181248,0.911443412304,3052.11474609,198.210494751,0.0555342808366,3063.83398438,0.389076075361,9221.89648438,10022.0953572,0.0656199857907,0.200465723872,0.246488898993,-0.0278717745095,9256.87890625,233345.603862,107363.680078
600.0,30,1791.54333333,5423.32885551,0.912799119949,-9734.96453125,600.0,1074926,,148622.632167,0.0367010716673,0.909192919731,3035.19140625,198.204097269,-0.150361463428,3044.49389648,0.391699882339,9237.63769531,10007.6941736,0.0656199857907,0.200420439243,0.246567741036,-0.0961933210492,9272.51757812,218414.838815,34588.0663574
620.0,31,1800.85967742,5634.46208954,0.922005474567,-9766.40322266,620.0,1116533,,150632.521144,0.0366667160682,0.910764455795,3027.34375,198.161418474,0.0194185301661,3033.91455078,0.388787589873,9210.359375,10046.3574999,0.0656199857907,0.200459241867,0.246831446886,-0.12610603869,9243.09765625,194961.231047,27449.1234668
640.0,32,1809.8359375,5818.49367237,0.929937899113,-9838.26880859,640.0,1158295,,152239.220711,0.0365046576383,0.902738749981,3050.76123047,199.071282916,-0.0998840928078,3050.75439453,0.387270887548,9177.23339844,10055.8464649,0.0656199857907,0.200452461839,0.246992751956,-0.0697917938232,9199.95800781,199932.239653,25751.7101562
660.0,33,1822.94848485,6016.45113778,0.90558463335,-9799.80029297,660.0,1203146,,153842.857258,0.037170431265,0.910937130451,3105.61914062,199.976027802,-0.0856449976563,3096.18896484,0.386434869191,9167.66796875,10055.4218931,0.0669389475051,0.20037817955,0.247107684612,-0.158245354891,9211.34375,195462.918417,42386.8614648
680.0,34,1823.37647059,6204.10000634,0.901608169079,-9865.50630859,680.0,1239896,,154243.341812,0.0365420215177,0.898634910583,3098.3828125,199.851066026,-0.0922542363405,3093.9777832,0.384766027223,9176.95703125,10060.5500427,0.0682844203499,0.200414538383,0.247300982475,-0.0580703504384,9202.76660156,189771.329215,38997.2527734
700.0,35,1816.62142857,6358.88075185,0.908065915108,-9858.65173828,700.0,1271635,,153586.695005,0.0367177685599,0.902868926525,3119.83935547,199.977802639,0.082953825593,3114.21728516,0.384141136198,9202.86328125,10049.0213799,0.0682844203499,0.200377687812,0.247361183167,-0.0706776753068,9232.13378906,183371.072034,40765.3639648
720.0,36,1820.29305556,6533.47160435,0.896887302399,-9881.64820312,720.0,1310611,,154790.435322,0.0365494365832,0.898391067982,3135.84545898,200.599479016,0.0799349322915,3136.83984375,0.381968546554,9150.09570312,10072.8779954,0.0682844203499,0.20036226511,0.247535437346,-0.0289101488888,9174.78613281,180569.503225,114725.750234
740.0,37,1822.96081081,6704.86890936,0.895066797733,-10023.9016602,740.0,1348991,,155208.702734,0.0365548719618,0.906601130962,3166.02905273,201.19573078,0.111154675484,3158.49658203,0.381197664176,9104.52636719,10070.2298585,0.0682844203499,0.200339451432,0.247646331787,-0.0204224549234,9126.9921875,174213.387685,39183.6168066
760.0,38,1819.24210526,6870.95555615,0.921521604061,-9819.93595703,760.0,1382624,,155172.133348,0.0370395118794,0.898096084595,3100.61865234,201.227324016,0.0737569630146,3110.44555664,0.380277004603,9108.70507812,10077.400144,0.0724852881735,0.200346201658,0.247802257538,0.0323262885213,9134.69335938,163945.355537,35148.6702637
780.0,39,1824.47051282,7052.18807364,0.90413248539,-9920.30146484,780.0,1423087,,155704.814941,0.0368960645673,0.89978903532,3131.23681641,201.793682349,0.0030719586648,3126.61303711,0.378734976059,9111.3046875,10075.6275117,0.0724852881735,0.200313284993,0.247934862971,-0.0561811737716,9136.55273438,165642.832217,35190.3445312
