total/epochs,rollout/actions_std,total/steps,reference_Q_std,reference_Q_mean,reference_action_std,rollout/actions_mean,reference_actor_Q_std,obs_rms_mean,rollout/return_history,reference_perturbed_action_std,reference_action_mean,rollout/Q_mean,train/param_noise_distance,param_noise_stddev,rollout/return,total/episodes,total/duration,train/loss_critic,total/steps_per_second,reference_actor_Q_mean,reference_perturbed_action_mean,train/loss_actor,rollout/episodes,obs_rms_std,rollout/episode_steps
96,0.522217961047,1802635,995.69519043,2611.28515625,0.946943283081,-0.028669889971,1001.94378662,0.147097468376,40185.8102342,0.964413940907,-0.151895105839,3192.25049418,,0.0340271411295,29051.3226133,1920.0,10041.4190774,14069.399043,179.519944951,2613.95654297,-0.0592493116856,-4206.80726074,1920.0,0.167522609234,938.872395833
97,0.52181410457,1815605,1051.6953125,2658.68798828,0.953128278255,-0.0292597522409,1053.31274414,0.147452741861,40954.2597375,0.960470795631,-0.0083681223914,3212.30441296,,0.0340271411295,29174.7933912,1940.0,10130.1518643,14195.2297754,179.227816554,2672.92236328,-0.0241591725498,-4259.29995605,1940.0,0.167567357421,935.878865979
98,0.522020354207,1828179,1075.27868652,2557.84082031,0.91435700655,-0.0294677832931,1080.61315918,0.147790670395,40360.6430652,0.933901667595,0.240165829659,3228.91147774,,0.0340271411295,29228.4838684,1960.0,10225.282841,14660.6105176,178.790066586,2576.61157227,0.294618427753,-4396.5614502,1960.0,0.167643293738,932.744387755
99,0.522293687013,1840367,1020.29541016,2488.77392578,0.923787474632,-0.0297551352773,1014.71258545,0.148097932339,38322.7547736,0.912324011326,-0.0430521294475,3243.55286021,,0.0398994990363,29253.698785,1980.0,10318.0086989,16934.8928662,178.364552085,2499.95605469,-0.155884966254,-4380.03616699,1980.0,0.167706429958,929.478282828
100,0.522761753145,1854310,1010.40454102,2479.08496094,0.940938353539,-0.0301491169008,1009.9743042,0.1483746171,36845.2029736,0.917463898659,-0.0615391656756,3259.58599851,,0.0398994990363,29314.9248585,2000.0,10411.2858062,18027.6801855,178.105762777,2501.37792969,-0.151284530759,-4496.81431641,2000.0,0.167736560106,927.155
101,0.523319959508,1867066,1016.93005371,2519.67431641,0.938115537167,-0.0303171434883,1029.3347168,0.148594349623,34621.7202534,0.965947747231,-0.154651165009,3273.0404715,,0.0398994990363,29327.0848727,2020.0,10497.1198072,19075.1000195,177.864598507,2526.30371094,-0.120418041945,-4429.6429834,2020.0,0.16774007678,924.29009901
102,0.524115330436,1881755,1012.87957764,2557.99951172,0.951480448246,-0.0303250688169,1015.64971924,0.14880143106,32974.8159578,0.958679080009,-0.0815006196499,3286.48969534,,0.0398994990363,29361.0690072,2040.0,10591.360707,18488.6274219,177.668861636,2580.90429688,-0.0693751871586,-4511.71364258,2040.0,0.16772466898,922.428921569
103,0.525291177077,1896162,1025.64709473,2467.53417969,0.96189814806,-0.0296886721603,1033.51599121,0.149053305387,33401.4918261,0.977438747883,-0.0674550533295,3303.94672477,,0.0383426343286,29431.0570703,2060.0,10685.6756039,15660.3609082,177.448957866,2486.08447266,-0.046956922859,-4491.8181543,2060.0,0.167686343193,920.466990291
104,0.526139909342,1909470,1046.9309082,2487.25292969,0.96987259388,-0.0290396224507,1036.18151855,0.149283766747,34303.9942123,0.956040084362,-0.0535071641207,3320.57108535,,0.0383426343286,29496.5014498,2080.0,10779.2563045,15276.8667871,177.143018596,2512.20385742,-0.0662387162447,-4595.73388184,2080.0,0.167635470629,918.014423077
105,0.526579042044,1922939,967.018310547,2461.77050781,0.939892232418,-0.0281911847665,966.363525391,0.149555146694,34521.162844,0.980064749718,-0.0355397611856,3336.94849021,,0.0383426343286,29562.8409531,2100.0,10869.4539804,16528.3680469,176.912198484,2483.15332031,-0.0417614243925,-4469.27564453,2100.0,0.167648375034,915.685238095
106,0.527026051403,1935854,1016.24176025,2530.60595703,0.949476599693,-0.0273019253661,1014.0269165,0.149771034718,34962.0257178,0.892549335957,-0.129099875689,3351.41852059,,0.0391133212786,29592.8839692,2120.0,10977.6622202,12659.4967773,176.344832002,2568.98730469,-0.108655013144,-4535.74594238,2120.0,0.167634576559,913.138679245
107,0.526481457739,1948017,969.142944336,2494.32373047,0.942292273045,-0.0265075626304,971.357727051,0.150071263313,35932.5745854,0.921546578407,-0.0954288169742,3368.09934675,,0.0391133212786,29668.1487071,2140.0,11066.5952287,13010.0447461,176.026768825,2528.75585938,-0.0642828047276,-4692.86958496,2140.0,0.167703106999,910.288317757
108,0.525826973227,1959921,961.429016113,2501.03515625,0.891811907291,-0.0256949565304,960.581176758,0.150387212634,36607.9227371,0.902128756046,0.0932734310627,3384.75913912,,0.0391133212786,29763.3193696,2160.0,11151.0851135,14006.9861035,175.760563214,2535.10986328,0.120196685195,-4814.37755859,2160.0,0.16778665781,907.370833333
109,0.52520854976,1971806,951.136901855,2542.21948242,0.937850356102,-0.0248025380972,954.034729004,0.150683283806,37011.5079709,0.923403263092,-0.0993080660701,3401.23151317,,0.0391133212786,29841.2265196,2180.0,11234.6574564,17116.1764063,175.511003131,2558.84375,-0.195600286126,-4792.44008789,2180.0,0.167850643396,904.498165138
110,0.524467250564,1983836,1007.347229,2575.23632812,0.881892800331,-0.0240058020797,1011.84283447,0.150996416807,37702.9100024,0.929956078529,0.0484004355967,3418.20171441,,0.0432054400826,29932.8440917,2200.0,11323.562397,15956.9598438,175.195396152,2600.14648438,-0.113386124372,-4847.79827148,2200.0,0.167915806174,901.743636364
111,0.523762975472,1995542,979.812438965,2555.8359375,0.934104025364,-0.0232316182366,984.79486084,0.151303350925,38989.7182232,0.92276674509,-0.116960063577,3434.15542885,,0.0432054400826,30016.1647915,2220.0,11411.842834,17062.0504102,174.865885294,2591.99243164,-0.113290920854,-4900.65233398,2220.0,0.167989134789,898.892792793
112,0.52322675372,2007431,1030.38769531,2586.08618164,0.875685691833,-0.0224699221341,1036.37121582,0.151587113738,38915.0108028,0.913332641125,0.0471489131451,3449.60726238,,0.0432054400826,30080.9550507,2240.0,11498.5243375,16503.8052246,174.581619439,2618.48779297,0.179777115583,-4978.12848633,2240.0,0.168060839176,896.174553571
113,0.522645124299,2019916,894.508300781,2657.49560547,0.874553143978,-0.0217045596798,916.576660156,0.151884108782,39519.956569,0.893368780613,-0.108909159899,3466.89344952,,0.0496635392466,30195.0289802,2260.0,11584.9814258,19379.0806152,174.35642974,2685.97900391,0.0601566582918,-5111.41501953,2260.0,0.168115049601,893.768141593
114,0.522229007192,2032201,922.140869141,2828.26025391,0.874045312405,-0.0210250666787,934.345581055,0.152170151472,39879.6713336,0.906757771969,0.0563664883375,3482.74156226,,0.0496635392466,30281.5091869,2280.0,11675.6788058,20909.402334,174.054205652,2866.73071289,-0.144243106246,-5050.22026367,2280.0,0.168166548014,891.31622807
115,0.522063866151,2045601,974.975280762,2822.64599609,0.887318611145,-0.0203398912016,999.502624512,0.152436226606,40511.398978,0.900344014168,-0.0504746288061,3500.04603107,,0.0496635392466,30392.7812606,2300.0,11770.3154914,18985.6293066,173.793217479,2851.21679688,0.041586458683,-5242.66676758,2300.0,0.168152153492,889.39173913
116,0.521775531951,2058080,994.31451416,2886.12353516,0.901933073997,-0.0197755874292,1018.04760742,0.152725249529,40968.0563006,0.921990931034,-0.0922489613295,3516.05589155,,0.0496635392466,30488.2290806,2320.0,11855.8512824,16960.2168848,173.591921068,2905.55859375,-0.126394823194,-5371.37749023,2320.0,0.168200492859,887.103448276
117,0.522117325755,2071709,1070.77661133,2906.40283203,0.884961903095,-0.0192887256096,1087.87731934,0.152992606163,42371.4818839,0.906015694141,0.0752858519554,3533.51432442,,0.055962119108,30606.1912401,2340.0,11942.6700456,14382.1594629,173.471174544,2931.53417969,-0.0297730546445,-5414.19875977,2340.0,0.168188765645,885.345726496
118,0.522165248245,2084548,990.441650391,2929.53564453,0.904664039612,-0.0190953170307,997.628967285,0.15325768292,42161.4604529,0.916356503963,0.173545569181,3549.22446989,,0.055962119108,30702.0811613,2360.0,12030.7337384,19177.4319629,173.268567431,2965.10717773,-0.0440543033183,-5389.36414062,2360.0,0.168225586414,883.283050847
119,0.52274539132,2096694,977.810424805,2922.33349609,0.900704503059,-0.0187325920413,978.397521973,0.153478503227,41524.5237407,0.924749076366,0.150758877397,3563.33177696,,0.0537784964984,30753.9047563,2380.0,12121.0858555,16046.6233594,172.979056909,2976.57373047,0.232689112425,-5463.97668945,2380.0,0.168254584074,880.963865546
120,0.52350272201,2109864,936.795410156,3008.40332031,0.880767345428,-0.0184871161381,944.540222168,0.15370041132,40751.6474731,0.937052667141,0.0687333196402,3578.44176207,,0.0537784964984,30824.4006862,2400.0,12227.2416809,14401.8470801,172.55437122,3046.59082031,0.250075757504,-5471.33253906,2400.0,0.168233305216,879.11
121,0.52421200321,2122043,933.311157227,2971.16455078,0.890405416489,-0.0182202416304,931.014648438,0.153902068734,39398.3756569,0.914577960968,-0.18655513227,3591.5376509,,0.0537784964984,30856.4169557,2420.0,12326.4728925,19650.1288477,172.153301151,3026.62158203,-0.256971269846,-5569.37083008,2420.0,0.168244868517,876.877272727
122,0.52472142673,2134134,937.401367188,3081.79638672,0.879218280315,-0.0180797029211,944.985656738,0.154094576836,37367.2746942,0.912049233913,-0.0851280912757,3604.33893676,,0.0537784964984,30883.2848243,2440.0,12425.0712552,15180.1991797,171.760302711,3126.93652344,-0.200029462576,-5767.22068359,2440.0,0.168264240026,874.645081967
123,0.525254401588,2148250,972.728088379,3114.14331055,0.901759982109,-0.0179667015631,993.798950195,0.154348224401,37796.6910151,0.927961826324,-0.092879101634,3620.19800573,0.216196710169,0.0506617763854,30990.4799358,2460.0,12516.6460712,18950.9544141,171.631440865,3152.56298828,-0.178488045931,-5659.04672852,2460.0,0.168273374438,873.272357724
124,0.526067284201,2162345,876.93737793,3190.40869141,0.882697105408,-0.0179080804427,900.169311523,0.154588699341,39189.8360537,0.913220703602,0.0730714052916,3636.49819849,,0.0506617763854,31094.0632764,2480.0,12608.281683,18938.1763574,171.501958345,3205.39404297,-0.080236621201,-5719.38083984,2480.0,0.168263420463,871.913306452
125,0.526781074385,2175931,928.258239746,3221.06542969,0.872797369957,-0.0178440279624,953.595581055,0.154796421528,39461.8491402,0.953155517578,0.0155733656138,3651.63688054,,0.0506617763854,31169.8986243,2500.0,12705.8123178,16522.8648828,171.254772664,3253.76000977,-0.0452715158463,-5751.13053711,2500.0,0.168238341808,870.3724
126,0.528146431235,2191257,999.512329102,3204.32543945,0.868591547012,-0.0179360361332,1024.32250977,0.155008643866,41487.6195734,0.87451416254,-0.00969298090786,3667.72879514,,0.0506617763854,31278.2900754,2520.0,12803.9031801,21562.7146191,171.139766458,3238.6105957,0.0191881749779,-5845.00750977,2520.0,0.168191283941,869.546428571
127,0.529764958841,2210374,924.428894043,3385.54101562,0.897765159607,-0.018720530995,938.829467773,0.155068233609,44633.6363987,0.881669044495,0.0117083508521,3680.76571102,,0.0516800780908,31424.6372485,2540.0,12913.5941167,18574.3063281,171.166445223,3394.640625,-0.061740141362,-5769.16989258,2540.0,0.1682767272,870.225984252
128,0.534103011503,2240221,932.859558105,3475.03759766,0.864307463169,-0.0239961523256,955.426147461,0.154498562217,45387.4595004,0.939256310463,-0.0971025750041,3681.13708746,,0.0467853005131,31552.8619501,2560.0,13069.6599014,15684.5217871,171.406219971,3477.85693359,-0.310002356768,-5804.48078125,2560.0,0.168459519744,875.086328125
129,0.538585889858,2273489,922.702758789,3374.19091797,0.89136582613,-0.0302276963527,946.702941895,0.153681457043,44815.3014157,0.885016918182,0.111690841615,3672.53830167,,0.0391133212786,31625.894212,2580.0,13269.769753,25243.2149414,171.328443697,3377.3347168,-0.14219596982,-5864.99557617,2580.0,0.168661981821,881.197286822
130,0.542479418453,2307981,885.439086914,3434.171875,0.890593230724,-0.0366766825977,890.400634766,0.152888089418,44364.6510257,0.8527302742,0.174292236567,3660.59841408,,0.0391133212786,31677.3891013,2600.0,13440.8785343,16841.8960742,171.713552362,3499.45458984,0.0419791825116,-5751.08789062,2600.0,0.168829530478,887.685
131,0.545636140963,2337657,878.900085449,3458.57836914,0.868886291981,-0.0415396665934,875.95916748,0.152302443981,43661.1800141,0.860380709171,0.0484292656183,3660.06165336,,0.0391133212786,31750.9194624,2620.0,13622.0724297,16733.0279395,171.60802896,3523.25439453,0.00779386330396,-5739.7515918,2620.0,0.168916761875,892.235496183
132,0.546679722169,2355264,872.115234375,3500.046875,0.884709477425,-0.042944421902,878.128601074,0.152280271053,41654.6203823,0.87520301342,0.13249270618,3669.46211923,,0.0391133212786,31812.1366096,2640.0,13728.109555,24765.3386914,171.565064408,3579.82373047,-0.0521268434823,-5688.81061523,2640.0,0.168981730938,892.145454545
133,0.550672532953,2388737,848.98046875,3544.28857422,0.879796802998,-0.047575827738,851.407043457,0.151532232761,39973.7690483,0.920806467533,-0.0138061288744,3656.5219089,,0.0391133212786,31869.4374049,2660.0,13910.3646331,17097.4317041,171.723535868,3544.9519043,-0.126410901546,-5559.52545898,2660.0,0.169171690941,898.021428571
134,0.553762078573,2416734,797.960632324,3511.25415039,0.857795119286,-0.0527647246411,791.665466309,0.151061311364,39906.3612585,0.888403594494,-0.0202711373568,3651.1763232,,0.0391133212786,31934.866863,2680.0,14077.9178085,14660.1946387,171.6684266,3555.05175781,-0.157626390457,-5575.694375,2680.0,0.169289261103,901.76641791
135,0.554630940743,2433998,768.003112793,3584.93579102,0.896954298019,-0.0542569792173,769.410339355,0.151062011719,40159.9885517,0.857674837112,-0.00326104555279,3659.69775397,,0.0391133212786,31991.5594513,2700.0,14187.0733478,19412.9165918,171.564489753,3657.71020508,0.0096447467804,-5549.57748047,2700.0,0.169359698892,901.480740741
136,0.555783725465,2450390,781.25769043,3626.16992188,0.907608926296,-0.0556004989407,769.39263916,0.151021286845,38482.9321529,0.917006790638,-0.11528339982,3666.89984651,,0.0391133212786,31998.419929,2720.0,14322.7564158,17868.7463281,171.083688702,3706.89111328,-0.12605433166,-5524.29492188,2720.0,0.16942293942,900.878676471
137,0.556484611373,2467003,800.463684082,3682.29833984,0.918553769588,-0.0563293899902,801.396362305,0.151141136885,38983.5161246,0.92552447319,-0.153229027987,3679.70141629,,0.0391133212786,32073.865789,2740.0,14422.4385335,17305.2909131,171.05311243,3803.77294922,-0.238296166062,-5420.27614258,2740.0,0.169449925423,900.366058394
138,0.557330415924,2482379,806.013427734,3795.37329102,0.893913328648,-0.0568087509243,805.90222168,0.151227980852,38838.2890385,0.944653332233,-0.101998828351,3691.57999255,,0.0391133212786,32121.9320293,2760.0,14521.624676,16388.9686377,170.943613775,3919.48681641,0.0379964783788,-5481.54254883,2760.0,0.169508486986,899.412681159
139,0.557354492116,2494652,900.264526367,3657.43066406,0.889739453793,-0.0564328884247,894.241577148,0.151417940855,37727.6781656,0.907925844193,-0.149893447757,3705.42333333,,0.048684971323,32143.2413703,2780.0,14609.8346756,13476.7374805,170.751555743,3764.69677734,-0.14935337007,-5381.31621094,2780.0,0.16950546205,897.356834532
140,0.557435806634,2508202,866.734863281,3769.19726562,0.882559418678,-0.056099803372,875.058776855,0.151656329632,38048.2966516,0.897836625576,-0.115577913821,3720.94162031,,0.048684971323,32207.8714942,2800.0,14704.673481,14466.5853662,170.57175756,3891.47265625,-0.164915263653,-5495.23674805,2800.0,0.16951701045,895.786428571
141,0.55745356861,2521591,942.437011719,3708.07763672,0.869766712189,-0.0557982024354,945.295288086,0.151879653335,39569.8330818,0.90531462431,0.0217044632882,3735.77461275,,0.048684971323,32266.9097571,2820.0,14797.5285349,15786.0782422,170.406226557,3802.41064453,0.0925542861223,-5477.82463867,2820.0,0.1695112288,894.181205674
