total/epochs,rollout/actions_std,total/steps,reference_Q_std,reference_Q_mean,reference_action_std,rollout/actions_mean,reference_actor_Q_std,obs_rms_mean,rollout/return_history,reference_perturbed_action_std,reference_action_mean,rollout/Q_mean,train/param_noise_distance,param_noise_stddev,rollout/return,total/episodes,total/duration,train/loss_critic,total/steps_per_second,reference_actor_Q_mean,reference_perturbed_action_mean,train/loss_actor,rollout/episodes,obs_rms_std,rollout/episode_steps
36,0.46259201274,630860,680.223571777,1750.58044434,0.850139439106,-0.00845701313811,676.836791992,0.142291843891,28638.3171602,0.856396019459,-0.239498078823,1377.89462669,,0.0368465179454,22743.3242624,720.0,3540.46111989,6441.30033936,178.185829088,1784.95349121,-0.117982313037,-2622.75281738,720.0,0.175728231668,876.194444444
37,0.462693157668,646927,676.901550293,1712.29016113,0.858534693718,-0.0137654265437,688.260620117,0.14270195365,28220.5318179,0.866280734539,0.0297213029116,1416.60644694,,0.0368465179454,22844.7187012,740.0,3632.20943809,4704.08118408,178.108396839,1732.64599609,-0.161210253835,-2811.21361816,740.0,0.175779461861,874.225675676
38,0.469402846344,665781,638.774291992,1978.95825195,0.871699810028,-0.0209199814507,639.000854492,0.14254295826,27848.0188157,0.855889737606,0.0433750450611,1443.68033775,,0.0368465179454,22905.0667977,760.0,3760.97717619,7204.25813232,177.023408761,1986.56115723,0.0768257081509,-2903.9198584,760.0,0.175929605961,876.027631579
39,0.470782711679,692540,594.070678711,2014.15405273,0.862939715385,-0.015471391891,601.189208984,0.141553252935,25731.141071,0.867083013058,-0.00436072703451,1491.72915216,,0.0368465179454,22675.8630229,780.0,3903.25270414,15085.7960059,177.426380635,2027.05053711,0.0211717523634,-2954.72025391,780.0,0.175320729613,887.871794872
40,0.473049007536,714863,646.057495117,1999.93310547,0.902152240276,-0.0133942182133,657.416687012,0.141250744462,24332.3274083,0.862945139408,0.0531352162361,1532.18372836,,0.0368465179454,22666.8170093,800.0,4025.96006608,7395.40648926,177.563360855,2021.53198242,0.243745088577,-2946.30651367,800.0,0.174980461597,893.57875
41,0.470173246913,738853,667.164489746,1967.32751465,0.876187622547,-0.00927860523201,676.262023926,0.14092412591,21905.9313203,0.898148834705,0.0184430982918,1580.22001179,,0.0247480794341,22641.2031719,820.0,4157.68294382,7686.6248584,177.707874791,1987.99316406,0.146304756403,-2931.90114746,820.0,0.174577474594,901.040243902
42,0.472630345588,768080,655.060302734,2008.09545898,0.924339532852,-0.0083593003788,663.515563965,0.139791741967,19078.2744745,0.915203928947,0.0448594912887,1626.14045382,,0.0247480794341,22396.3324838,840.0,4294.0459249,7831.89528076,178.870932783,2040.49291992,0.0550738871098,-3055.38606445,840.0,0.173972308636,914.380952381
43,0.470159595068,794503,679.709960938,2052.51928711,0.935183346272,-0.00652885917446,676.20098877,0.13927167654,18035.1612419,0.936901926994,0.116500936449,1675.80949947,,0.0198825131376,22338.7987098,860.0,4428.51181436,15391.1312695,179.406318264,2062.00146484,-0.00160811468959,-3023.79252441,860.0,0.173378899693,923.840697674
44,0.4755257463,834495,687.02331543,1974.46411133,0.929679572582,0.00287882797938,696.319946289,0.137356728315,16972.2539716,0.908385813236,-0.0149915851653,1726.16245077,,0.0198825131376,22027.7256307,880.0,4602.98382902,7813.12149414,181.294358398,1976.82067871,0.0669191032648,-3108.99025879,880.0,0.172045856714,948.289772727
45,0.48165700544,872632,711.184814453,1911.63098145,0.911767184734,-0.000526330308415,720.079833984,0.136776894331,19509.0895894,0.915903091431,0.0854828432202,1799.13971712,,0.0198825131376,22315.9584071,900.0,4794.1484375,13738.2278271,182.02022974,1935.96972656,0.061643153429,-3047.88945312,900.0,0.170664459467,969.591111111
46,0.487619672546,904324,736.293945312,1968.01806641,0.923182427883,-0.00376795107201,739.363769531,0.135941684246,18853.9814339,0.927939593792,0.0864601582289,1844.70428727,,0.0166221252327,22229.5486352,920.0,4964.24696875,14209.0861426,182.167407402,1971.45666504,0.100385151803,-3094.10098145,920.0,0.169657051563,982.960869565
47,0.490630504471,939108,718.587280273,1923.37304688,0.898121774197,-0.0083853849918,730.753173828,0.135008066893,19693.4705903,0.905990719795,0.0226175952703,1891.02262473,,0.0166221252327,22108.7939845,940.0,5130.72144103,10661.8882861,183.036247591,1935.08984375,0.136487975717,-3121.08197754,940.0,0.168647289276,999.05106383
48,0.497524349006,976177,725.241271973,1885.58984375,0.934670507908,-0.0172075851711,719.426330566,0.133559182286,16981.5281069,0.924076497555,-0.101349793375,1917.75232345,,0.0166221252327,21780.7496887,960.0,5305.7922914,10193.0917236,183.983267039,1905.45556641,-0.0887222662568,-3126.41662598,960.0,0.167518749833,1016.85104167
49,0.501179879527,1010705,725.903198242,1877.3572998,0.946480572224,-0.025442129,731.445373535,0.132597208023,18454.4316869,0.939050078392,-0.0924522578716,1953.77205417,,0.0166221252327,21663.1037997,980.0,5466.6315465,9290.27973877,184.886248763,1881.51599121,-0.0770676210523,-3105.08233398,980.0,0.166582673788,1031.33163265
50,0.5023000377,1042321,667.191772461,1813.26416016,0.928564488888,-0.0211341044289,664.041992188,0.132080927491,16250.2315824,0.9332498312,-0.05688162148,1999.10332632,,0.0166221252327,21709.3857246,1000.0,5614.41594577,9856.2782373,185.650833509,1829.15222168,-0.0209750123322,-3119.64994629,1000.0,0.165836721659,1042.321
51,0.501426762241,1078226,642.778076172,1826.05371094,0.908930063248,-0.0203038361531,650.821594238,0.131213575602,15507.1640328,0.937395334244,-0.0466090552509,2032.06434125,,0.0169562299499,21570.4913212,1020.0,5775.39515924,17032.0418701,186.693026238,1839.68701172,-0.0660815536976,-3112.80128906,1020.0,0.164936542511,1057.08431373
52,0.503787893927,1102209,653.280822754,1835.35314941,0.867244780064,-0.0178086178544,652.140319824,0.131483212113,19992.0670021,0.884558022022,-0.115131899714,2078.38122076,,0.0159735356322,21905.2625438,1040.0,5893.28149962,17854.9382227,187.028058997,1844.81787109,-0.133117288351,-3185.57816895,1040.0,0.164647236466,1059.81634615
53,0.504351133148,1129034,650.736938477,1821.68383789,0.864683032036,-0.0150548021269,661.083068848,0.131450265646,25277.9195489,0.846454679966,0.109856680036,2113.72602611,,0.0159735356322,22110.6713736,1060.0,6019.37435484,15144.6696973,187.566669465,1835.296875,0.109018489718,-3139.8085791,1060.0,0.164293169975,1065.12641509
54,0.504319186523,1155238,651.655395508,1865.71411133,0.871001899242,-0.0136797017626,655.536743164,0.131439119577,28523.8371853,0.867805719376,0.0752533301711,2148.09892114,,0.0153502537744,22298.3568909,1080.0,6147.08790612,7712.17170898,187.93256541,1879.52587891,0.0971915721893,-3183.53328125,1080.0,0.163954153657,1069.66481481
55,0.504487898577,1179573,618.999816895,1837.0534668,0.872129619122,-0.011031614596,622.010253906,0.131493061781,30091.3592136,0.879572510719,-0.189390808344,2179.49888776,,0.0159735356322,22471.3833145,1100.0,6265.72207022,9854.0055957,188.258110842,1837.28173828,-0.196680620313,-3191.21088867,1100.0,0.163687631488,1072.33909091
56,0.504635667147,1202520,613.776855469,1776.54150391,0.865597605705,-0.00891324107416,618.205505371,0.13175547123,34780.6993773,0.853032886982,-0.116891220212,2213.63670244,,0.0159735356322,22749.9741833,1120.0,6375.97460532,7345.50768311,188.601754937,1791.61889648,-0.0880872607231,-3191.14954102,1120.0,0.163531929255,1073.67857143
57,0.503547769424,1219740,626.978393555,1751.3203125,0.866408407688,-0.00829591003402,629.831237793,0.132202774286,34068.6570966,0.887046277523,-0.0829723030329,2242.79445178,,0.0159735356322,22972.2269783,1140.0,6471.27621484,6670.95996094,188.485232202,1758.80957031,-0.0844335705042,-3175.00678711,1140.0,0.163623273373,1069.94736842
58,0.501628589954,1237073,598.213684082,1672.30505371,0.894312262535,-0.00876474558548,604.622436523,0.132604658604,34198.184941,0.901428997517,-0.0890397429466,2271.11633392,,0.01475129216,23152.6984053,1160.0,6567.5278995,11576.5247314,188.362047171,1688.58813477,-0.0707112550735,-3130.69095703,1160.0,0.163730233908,1066.44224138
59,0.501388766822,1253533,649.988464355,1637.38354492,0.872863411903,-0.00759905601964,649.017028809,0.133088484406,34814.6752689,0.840178072453,-0.0789819136262,2298.12770859,,0.01475129216,23359.0618382,1180.0,6662.25417495,9458.59871582,188.154484516,1628.62231445,-0.0016286666505,-3206.17446777,1180.0,0.16384139657,1062.31610169
60,0.499612865347,1267251,666.841674805,1650.33337402,0.886263012886,-0.00709592740353,665.529296875,0.133680284023,36368.4822496,0.871632874012,-0.1069098562,2325.30202658,,0.0215299126758,23629.4748924,1200.0,6745.69462514,7857.03297852,187.86071271,1659.47143555,-0.14394955337,-3304.61041016,1200.0,0.164105683565,1056.0425
61,0.497988941164,1278940,746.814575195,1710.02893066,0.879693806171,-0.00728807629449,750.966308594,0.134323865175,36684.4053739,0.888838171959,-0.00530879106373,2351.87808376,,0.0215299126758,23892.1406744,1220.0,6823.80233335,7294.35168701,187.423365672,1737.16394043,0.086625687778,-3273.85008301,1220.0,0.164464578032,1048.31147541
62,0.496359801549,1290666,746.430236816,1741.14331055,0.899088680744,-0.00745301966537,748.210021973,0.134976327419,37164.8962602,0.908449292183,0.0717552751303,2379.51071801,,0.0215299126758,24116.7970817,1240.0,6901.54262519,7711.62188477,187.011233588,1743.70812988,0.147883981466,-3318.40801758,1240.0,0.164794832468,1040.85967742
63,0.494951423543,1302414,709.303222656,1742.08410645,0.906744360924,-0.0079731417085,710.794006348,0.135628014803,37615.5338006,0.915237188339,0.139759808779,2405.77490346,,0.0215299126758,24300.5424843,1260.0,6981.37545013,7680.78211914,186.555501749,1770.83032227,0.11555249989,-3348.18781738,1260.0,0.165124773979,1033.66190476
64,0.493729334947,1314629,727.902404785,1754.57250977,0.905423998833,-0.00868164939787,739.351318359,0.136252239347,37281.7186581,0.896773159504,0.0506543815136,2431.3750897,,0.0215299126758,24446.7694023,1280.0,7060.87712765,8154.66487793,186.184942215,1765.13916016,0.0356044210494,-3402.9008252,1280.0,0.165428087115,1027.05390625
65,0.492670316779,1326711,815.587890625,1853.24487305,0.912722766399,-0.009568033214,818.675170898,0.136824578047,37144.1565414,0.921375334263,-0.115938864648,2459.16463782,,0.0215299126758,24669.0657885,1300.0,7138.59429717,9008.41069336,185.850455254,1860.49584961,-0.185993313789,-3437.06961914,1300.0,0.165646076202,1020.54692308
66,0.492290076997,1338703,879.327575684,1924.60400391,0.941267967224,-0.0104125760852,884.353759766,0.137315422297,36282.0156389,0.945274233818,-0.0711401551962,2485.47014851,,0.0398994990363,24830.7675656,1320.0,7217.75821853,12244.475874,185.473516772,1970.17675781,-0.0477616488934,-3362.83335449,1320.0,0.165796458721,1014.16893939
67,0.492777694157,1351068,858.909912109,1882.15893555,0.972283899784,-0.0114063822478,856.127258301,0.137779414654,35900.573875,0.972412228584,-0.109541468322,2512.79473443,,0.0398994990363,24996.1834095,1340.0,7297.97313142,14524.0073535,185.129209942,1876.09338379,-0.117630079389,-3452.36133301,1340.0,0.165878370404,1008.25970149
68,0.494193251598,1364132,755.640319824,1818.58618164,0.974083185196,-0.0126885816551,750.504760742,0.138263076544,36353.157901,0.975611925125,-0.108267441392,2541.7301639,,0.0391133212786,25186.7642061,1360.0,7379.98350668,12761.3742773,184.842147515,1815.45031738,-0.111102238297,-3522.89126953,1360.0,0.16591411829,1003.03823529
69,0.494805694702,1376556,783.181884766,1895.02392578,0.977974653244,-0.0138953234248,774.929748535,0.138744711876,37025.2068674,0.976882994175,-0.105332061648,2569.10939539,,0.0391133212786,25358.250378,1380.0,7460.47783875,12175.7796045,184.513114274,1916.49902344,-0.0970698148012,-3491.96549316,1380.0,0.166018366814,997.504347826
70,0.495639473975,1389222,770.952392578,1878.31323242,0.968479335308,-0.0150464454374,759.714599609,0.139223694801,36805.2741976,0.958133757114,-0.097094848752,2596.05260949,,0.0391133212786,25535.9378177,1400.0,7540.18928862,11787.0710938,184.242324274,1881.46350098,-0.108122363687,-3565.62944824,1400.0,0.166116774082,992.301428571
71,0.497606655722,1402680,752.825134277,1904.59216309,0.983039557934,-0.0164281827449,744.729248047,0.139711230993,37350.5924433,0.97758358717,-0.105337262154,2623.47959573,,0.0391133212786,25712.4453739,1420.0,7624.19242716,13038.1483398,183.977518065,1914.50073242,-0.13074849546,-3489.05463379,1420.0,0.166195213795,987.802816901
72,0.500161023509,1416194,755.235717773,1997.80273438,0.977139472961,-0.0175717590949,749.506530762,0.140190690756,37644.7795875,0.973091840744,-0.0909182205796,2650.50073016,,0.0391133212786,25874.5581441,1440.0,7711.67490935,13924.4699316,183.642855365,2026.98547363,-0.098487496376,-3522.90668457,1440.0,0.1662671417,983.468055556
73,0.500274941986,1428993,743.374816895,1982.43994141,0.978157520294,-0.0186489467667,736.446472168,0.140727803111,37713.3372311,0.97559517622,-0.0875655561686,2675.5964383,,0.0440738694283,26044.7486599,1460.0,7795.41644025,11993.9610645,183.311951446,2015.53198242,-0.0592984557152,-3513.5788623,1460.0,0.166438803077,978.762328767
74,0.500105809402,1441215,715.826599121,1871.61999512,0.966241300106,-0.0196327551961,720.484008789,0.141220539808,38208.5618334,0.969660878181,-0.105929337442,2699.64845519,,0.0440738694283,26226.5146655,1480.0,7874.40648699,16622.1166406,183.025222584,1908.93945312,-0.091051004827,-3531.31595703,1480.0,0.166602537036,973.793918919
75,0.500331796903,1454787,827.817077637,2094.67382812,0.962191224098,-0.0207145115065,834.194091797,0.141741663218,39377.8645763,0.954602658749,-0.111592292786,2725.41049535,,0.0527188476604,26458.732935,1500.0,7959.31612444,11277.6711475,182.777889112,2127.44262695,-0.178345769644,-3575.02305664,1500.0,0.166767865419,969.858
76,0.501634297756,1469868,1018.67004395,2375.15625,0.955307364464,-0.0223512145221,1024.67407227,0.142139911652,40040.2782827,0.949517846107,-0.12294562906,2749.43490132,,0.0527188476604,26655.06596,1520.0,8048.22761846,14810.7737988,182.632508632,2396.08984375,-0.281098514795,-3718.22907715,1520.0,0.166958123446,967.018421053
77,0.503965908163,1486516,1011.12219238,2360.90771484,0.982878983021,-0.0235727366935,1017.58361816,0.142631500959,41473.0186289,0.979112505913,-0.0650895833969,2774.78066188,,0.0527188476604,26887.4451886,1540.0,8141.78391409,16562.749209,182.578660363,2385.51855469,-0.0998050421476,-3725.75227051,1540.0,0.167108088732,965.27012987
78,0.506302904561,1501791,1190.71203613,2691.25537109,0.979430794716,-0.0243615654697,1201.41821289,0.143014132977,41679.5298197,0.983058154583,-0.0563684627414,2800.30272332,,0.0527188476604,27046.9782214,1560.0,8230.60131526,15767.9164648,182.46431123,2736.64648438,-0.0551941245794,-3869.39580566,1560.0,0.167153283954,962.686538462
79,0.509299269363,1517987,1246.0715332,2808.85131836,0.984362244606,-0.0256789267924,1251.20153809,0.143295943737,41030.6272761,0.936251759529,-0.0480756834149,2820.97497741,,0.0496635392466,27163.4838181,1580.0,8321.36801744,17693.4188965,182.420366077,2847.86425781,-0.167178958654,-3947.17342773,1580.0,0.167295590043,960.751265823
80,0.51227914603,1534296,1231.09191895,2838.34472656,0.974205970764,-0.0263210765617,1229.6784668,0.143703758717,41290.6969332,0.978977322578,-0.0626452937722,2848.77845913,,0.0496635392466,27385.7306848,1600.0,8414.44518638,17419.6479297,182.340720751,2844.57763672,-0.0348912253976,-3905.19106445,1600.0,0.167303770781,958.935
81,0.51475791991,1549873,1274.55773926,2893.62768555,0.954432487488,-0.0267592849694,1276.26599121,0.14412792027,42183.3325358,0.973425090313,-0.103325299919,2875.49898202,,0.0496635392466,27613.6009338,1620.0,8505.11237288,11828.047373,182.228397704,2907.82080078,-0.0990758612752,-3891.58600586,1620.0,0.167343571782,956.711728395
82,0.515623018568,1564199,1392.93261719,3082.25634766,0.95378446579,-0.0272124403321,1375.57751465,0.144516989589,41561.2445903,0.949899375439,-0.103724293411,2901.20380722,,0.0354087795082,27782.1890545,1640.0,8591.93444324,15049.5240381,182.054345309,3115.37597656,-0.108061060309,-3964.67507812,1640.0,0.167383879423,953.779878049
83,0.515844061797,1577901,1336.25048828,3049.72412109,0.931586325169,-0.027530477583,1345.50524902,0.144898489118,41835.6381994,0.940832436085,-0.144077956676,2924.80657927,,0.0354087795082,27937.8613526,1660.0,8677.22561932,11716.6788379,181.843952114,3061.67626953,-0.117316737771,-3959.27289551,1660.0,0.167464062572,950.542771084
84,0.515391199737,1591173,1347.44885254,3125.41796875,0.934321641922,-0.0279302889984,1349.78894043,0.145283609629,42144.5355827,0.926919996738,-0.16744557023,2946.36800427,,0.0354087795082,28055.2130898,1680.0,8760.68402457,10981.2710645,181.626571114,3166.80834961,-0.185764074326,-3912.04066406,1680.0,0.167598336935,947.126785714
85,0.515146642189,1604024,1320.86779785,3130.68115234,0.931085467339,-0.0286627290616,1330.79736328,0.145643562078,40068.8015244,0.945247232914,-0.228429347277,2965.87481803,,0.0354087795082,28131.7936754,1700.0,8843.97751474,16084.5245801,181.369072606,3157.32666016,-0.144396483898,-3998.80239258,1700.0,0.167773738503,943.543529412
86,0.515500701555,1617999,1252.12109375,3068.55859375,0.938878893852,-0.0295166490049,1261.96081543,0.146012321115,38557.9178601,0.959111273289,-0.191882073879,2987.4986915,,0.0354087795082,28249.8984296,1720.0,8933.20269871,12604.6517383,181.121939641,3094.49951172,-0.200591683388,-3987.72263184,1720.0,0.167877346277,940.697093023
87,0.516045405794,1631521,1226.43969727,3005.11376953,0.958332300186,-0.0302927759388,1243.0357666,0.146389007568,38225.979467,0.976375222206,-0.155882209539,3010.46416786,,0.0354087795082,28382.4068943,1740.0,9017.59047127,18356.8158789,180.926490862,2991.984375,-0.116753861308,-3924.61460449,1740.0,0.167956471443,937.655747126
88,0.516541103781,1644631,1303.07910156,3000.24267578,0.959280848503,-0.0309978977121,1290.77966309,0.146766349673,37844.9896252,0.972051799297,-0.159406587481,3033.05739701,,0.0354087795082,28500.7663681,1760.0,9101.66244674,15444.123125,180.695670667,3023.21337891,-0.1301304847,-4025.03553223,1760.0,0.168030798435,934.449431818
89,0.519483455324,1681483,1253.56176758,2922.2109375,0.954093635082,-0.0299887618719,1279.52209473,0.145998463035,35484.6082058,0.962940573692,-0.108110748231,3054.58804702,,0.0354087795082,28472.5948379,1780.0,9293.79482746,17270.596582,180.925341178,2923.69775391,-0.128433510661,-3985.15081543,1780.0,0.167599022388,944.653370787
90,0.523761747608,1723972,1188.76867676,2971.80200195,0.948015928268,-0.0267475660018,1193.15258789,0.144881099463,32059.2970248,0.94264549017,-0.12265881151,3071.26958516,,0.0354087795082,28349.9883059,1800.0,9515.35608673,17650.4659912,181.177875456,2964.81079102,-0.267906785011,-4085.47638184,1800.0,0.167104169726,957.762222222
91,0.523278674977,1736856,1138.32287598,2799.38037109,0.987128853798,-0.0270289203768,1133.82788086,0.145261377096,31701.3309535,0.990911722183,-0.0367454364896,3091.62079091,,0.0354087795082,28439.5375792,1820.0,9602.61381555,17372.0611133,180.873253196,2812.08276367,-0.0312200281769,-4176.9835498,1820.0,0.167197197676,954.316483516
92,0.52322999623,1749814,1120.12805176,2669.078125,0.965687334538,-0.0268626864722,1107.64855957,0.145672857761,31182.8520906,0.94107735157,0.0086761014536,3111.98375727,,0.0354087795082,28534.6050028,1840.0,9693.26049876,18442.1396094,180.518619119,2710.51928711,0.126410230994,-4305.44849121,1840.0,0.16730363667,950.985869565
93,0.523070142811,1762753,1056.4128418,2656.44677734,0.980348229408,-0.0271052533098,1055.59692383,0.146088674664,30904.1526774,0.989514827728,-0.0910476744175,3131.62920702,,0.0354087795082,28629.9806858,1860.0,9777.63920426,17602.5016211,180.284111857,2705.11279297,-0.0450174547732,-4131.23688965,1860.0,0.167413830757,947.716666667
94,0.522904176479,1775585,1019.44274902,2677.91308594,0.951773405075,-0.0275404003925,1029.23291016,0.146462395787,34088.2930555,0.921985328197,-0.0433137156069,3152.16517441,,0.0354087795082,28771.3021899,1880.0,9865.43827581,16254.7107227,179.980346575,2693.35766602,0.214243680239,-4228.30702637,1880.0,0.167462229729,944.460106383
95,0.52274537005,1788301,1042.3470459,2624.00244141,0.958507180214,-0.028190781523,1055.29406738,0.146813213825,39153.5046899,0.965655505657,-0.104969769716,3172.61976529,,0.0354087795082,28918.5944314,1900.0,9950.54186511,15858.2563184,179.718956439,2628.90698242,-0.122491560876,-4261.7625,1900.0,0.167500033975,941.211052632
