reference_perturbed_action_std,rollout/episodes,reference_actor_Q_std,rollout/return,reference_action_std,rollout/Q_mean,total/episodes,total/duration,reference_actor_Q_mean,obs_rms_std,total/steps,train/loss_critic,rollout/actions_mean,rollout/return_history,param_noise_stddev,reference_Q_mean,obs_rms_mean,total/epochs,reference_perturbed_action_mean,rollout/actions_std,rollout/episode_steps,reference_Q_std,train/param_noise_distance,total/steps_per_second,reference_action_mean,train/loss_actor
0.906092882156,500.0,1966.47143555,158118.180194,0.908641576767,8957.27787756,500.0,2752.85254788,2541.81689453,0.14577883482,941800,90100.496582,-0.00101095105953,183407.456118,0.0247480794341,2508.40771484,0.673471391201,25,-0.0402191691101,0.45280533368,1883.6,1955.47351074,0.191589095891,342.117851798,-0.0681186243892,-9311.31761719
0.898917019367,520.0,1965.54589844,159973.826129,0.905073523521,9026.29002343,520.0,2868.75167871,2534.26367188,0.145762398839,981142,21778.451792,-0.000261010494332,191701.976952,0.0247480794341,2499.77880859,0.673484504223,26,-0.139395102859,0.448053773561,1886.81153846,1954.54467773,,342.010083091,-0.0863413736224,-9369.47641602
0.843480050564,540.0,1983.93505859,163172.812514,0.767485201359,9130.88815234,540.0,2991.34556007,2463.80639648,0.145754158497,1024525,80401.5159473,0.00157345588066,205047.000208,0.0224041134654,2427.55029297,0.673500955105,27,-0.335274845362,0.443520024372,1897.26851852,1970.96276855,,342.496371424,-0.484781980515,-9735.86366211
0.850590825081,560.0,2002.20629883,164272.26061,0.839895129204,9166.09417609,560.0,3114.52949286,2391.26367188,0.145748719573,1064561,19842.6342041,0.000817507081868,193562.048436,0.0224041134654,2355.78417969,0.673504590988,28,-0.333345890045,0.441566869737,1901.00178571,1990.64758301,,341.804758132,-0.352291733027,-9821.65171875
0.90708386898,580.0,2011.3190918,169468.429358,0.917474150658,9297.75207726,580.0,3282.88681936,2439.98291016,0.145734280348,1121762,96480.2368262,0.000118717025141,224319.561485,0.0224041134654,2382.13671875,0.673561275005,29,-0.0379447899759,0.43338103347,1934.07241379,2002.53967285,,341.699870182,0.00102220417466,-10402.6174609
0.895795404911,600.0,1971.6348877,170313.037651,0.910900235176,9360.33412585,600.0,3387.6392405,2406.08447266,0.14573225379,1157279,15202.2549854,-0.00135857472521,231287.324935,0.0242604444997,2353.39111328,0.673575758934,30,-0.0781716629863,0.430265091678,1928.79833333,1967.25842285,,341.618135179,0.00516882492229,-10352.3057227
0.928631484509,620.0,1933.94494629,172062.290975,0.923105597496,9438.64371721,620.0,3508.7133193,2486.21289062,0.145720884204,1196832,11783.4205225,0.000229807750677,234922.308179,0.0242604444997,2433.83422852,0.673598825932,31,0.000463981181383,0.426176464923,1930.37419355,1921.59313965,,341.102817781,0.0488553196192,-10581.1612305
0.924327015877,640.0,1880.29943848,177008.6373,0.921773254871,9541.01375214,640.0,3686.63096809,2471.47607422,0.14571197331,1256328,15429.8500342,-0.000255990223504,251722.091144,0.0242604444997,2415.5859375,0.673640370369,32,-0.0176722053438,0.420188476206,1963.0125,1867.87036133,,340.77943002,0.0502831488848,-10457.2720508
0.930547654629,660.0,1886.00976562,178144.448052,0.889966487885,9538.94881077,660.0,3841.477772,2414.75537109,0.145719975233,1306658,20260.8832471,-0.00298701515148,255828.697728,0.0242604444997,2362.12744141,0.673637330532,33,-0.0386036150157,0.418776599109,1979.78484848,1876.23706055,,340.144620782,0.0158509910107,-10556.5548438
0.815236568451,680.0,1856.90478516,177389.592263,0.860790133476,9500.70633779,680.0,3953.60843468,2282.02832031,0.145720079541,1347756,11215.3679395,-0.00712153651754,223332.337113,0.0242604444997,2237.74609375,0.673611283302,34,-0.388121157885,0.4206096601,1981.99411765,1849.30834961,,340.892635745,-0.158519044518,-10244.1366797
0.797721743584,700.0,1923.82617188,180060.775271,0.856759309769,9549.13636991,700.0,4107.69932628,2188.53271484,0.145711272955,1401273,49955.6804102,-0.0090188774712,238547.200991,0.0202821516517,2153.14794922,0.673624396324,35,-0.31418928504,0.417383802866,2001.81857143,1917.45581055,,341.133293529,-0.224974945188,-10403.2428125
0.949853122234,720.0,1983.92810059,182882.628339,0.8963778615,9603.96413161,720.0,4260.79428244,2254.82080078,0.145692065358,1455015,15373.2508691,-0.010047238855,249968.719992,0.0202821516517,2204.5703125,0.673641264439,36,-0.122916020453,0.413229097526,2020.85416667,1981.46044922,,341.489145814,-0.138087749481,-10521.1587695
0.75123488903,740.0,2034.19482422,185840.629627,0.784150004387,9636.51788404,740.0,4418.38543034,2179.44775391,0.145672991872,1517915,45684.8046826,-0.014375784491,242365.380519,0.0202821516517,2154.38549805,0.673621475697,37,-0.45147767663,0.411224384198,2051.23648649,2029.64147949,,343.545175932,-0.408396095037,-10441.486875
0.715169012547,760.0,2026.57751465,184383.501457,0.82640850544,9572.04830965,760.0,4519.11869073,2133.72241211,0.145677059889,1559793,16399.041748,-0.0213213296819,225561.253926,0.0202821516517,2099.74609375,0.673569858074,38,-0.591095149517,0.415064867657,2052.35921053,2021.91186523,,345.154245052,-0.276327937841,-10335.9594141
0.901559472084,780.0,2037.79602051,187261.774874,0.92973035574,9645.7369145,780.0,4683.75769186,2073.7487793,0.145675644279,1612076,12430.3011963,-0.0202781060401,254392.616631,0.0202821516517,2037.63989258,0.673628151417,39,-0.016283839941,0.409731324661,2066.76410256,2034.51281738,,344.184329348,-0.0135575011373,-10582.5694336
0.915755331516,800.0,2048.37304688,189455.797831,0.917004704475,9710.04212925,800.0,4814.98152757,2014.94396973,0.145670130849,1660170,11617.112998,-0.0205419007092,255220.955755,0.0202821516517,1986.22790527,0.673653662205,40,-0.242080882192,0.406718737132,2075.2125,2044.53186035,,344.792600033,-0.0946016833186,-10503.4766797
0.931563675404,820.0,2047.7253418,190175.434402,0.926113307476,9747.71471019,820.0,4948.32877755,2060.91186523,0.145667299628,1701211,101818.105791,-0.0207377355185,242683.638058,0.0191067043242,2021.22009277,0.673684239388,41,0.0273467991501,0.404436289621,2074.64756098,2049.84887695,,343.795062227,0.0351260267198,-10612.5892383
0.908772170544,840.0,2054.61157227,191605.794446,0.90836763382,9779.39870219,840.0,5092.78569579,2061.11474609,0.145654886961,1749544,16767.0928296,-0.0209941747208,234268.014105,0.0191067043242,2033.4263916,0.673695325851,42,-0.0179013516754,0.402694897161,2082.79047619,2054.70727539,,343.53379555,-0.0216964688152,-10539.6098438
0.909446239471,860.0,2039.47314453,192718.0185,0.914291203022,9822.26288716,860.0,5212.74669862,2081.67944336,0.145641714334,1792790,22884.647627,-0.0203740863726,256060.348032,0.0191067043242,2040.43383789,0.673710405827,43,-0.0750232040882,0.400031683438,2084.63953488,2038.4576416,,343.924250237,0.0491437874734,-10761.7528125
0.903858661652,880.0,2015.79382324,192867.419896,0.909420132637,9848.71893467,880.0,5323.95279217,2125.14941406,0.145629435778,1829942,15306.2299561,-0.0202636918001,236591.451069,0.0191067043242,2091.70947266,0.673717319965,44,0.0733556076884,0.398694479257,2079.47954545,2014.27612305,,343.718675096,-0.0685713663697,-10712.3087891
0.915472090244,900.0,2008.8503418,192410.593677,0.874795794487,9853.24862852,900.0,5439.18388867,2031.11791992,0.145629316568,1867365,83011.3451221,-0.0221119719636,216048.960437,0.0191067043242,1998.56066895,0.673719584942,45,-0.112902082503,0.399304554487,2074.85,2007.51367188,,343.317129595,-0.216075256467,-10705.9916797
