obs_rms_mean,param_noise_stddev,rollout/episode_steps,rollout/actions_mean,reference_perturbed_action_mean,rollout/episodes,reference_Q_std,train/loss_actor,total/epochs,rollout/actions_std,reference_action_mean,train/param_noise_distance,rollout/return,reference_action_std,reference_actor_Q_mean,total/steps_per_second,reference_actor_Q_std,train/loss_critic,reference_perturbed_action_std,total/duration,reference_Q_mean,total/episodes,rollout/Q_mean,obs_rms_std,rollout/return_history,total/steps
0.155169159174,0.0496635392466,791.529166667,-0.0299982682064,0.0918232873082,240.0,2861.61450195,-4601.72939453,12,0.668011431043,0.118620425463,,28431.484748,0.928735494614,4051.96704102,181.070873971,2859.25488281,17719.2855176,0.946435570717,1049.13062954,4040.61816406,240.0,4529.09046844,0.171461433172,36343.2508539,189967
0.155179098248,0.0496635392466,794.173076923,-0.0302595074554,0.0299114584923,260.0,2881.9519043,-4636.69003418,13,0.661696213473,0.143173635006,,29442.6299808,0.926628351212,4073.84448242,181.221077955,2878.69287109,13942.3286426,0.93316590786,1139.40940166,4056.8828125,260.0,4567.37065738,0.171504497528,37358.045805,206485
0.155202418566,0.048684971323,796.110714286,-0.0319994883499,0.0654672682285,280.0,2911.77954102,-4633.21645996,14,0.657560701247,0.0682817399502,,30374.9187609,0.935285627842,4112.79101562,180.898180892,2908.09375,15962.5174023,0.942843019962,1232.24566936,4094.19335938,280.0,4606.25221455,0.171534836292,38622.4269329,222911
0.155343860388,0.048684971323,785.233333333,-0.025811332316,0.212239220738,300.0,2917.64453125,-4784.25793457,15,0.648803866923,0.120852440596,,31011.0682676,0.932241201401,4120.19140625,179.284102175,2914.9921875,16321.7913965,0.921381890774,1313.94806981,4102.02783203,300.0,4703.82159804,0.171541035175,39512.6413567,235570
0.155442625284,0.048684971323,780.828125,-0.0250143203748,0.0587460696697,320.0,2928.98144531,-4924.3619043,16,0.64309691671,0.123776227236,,31717.694189,0.922641515732,4177.93457031,178.653762542,2923.07788086,15126.3714258,0.930817365646,1398.59914756,4158.25,320.0,4773.17121871,0.171549662948,40672.6420312,249865
0.155595213175,0.0449597542038,771.220588235,-0.0203592030308,0.103077329695,340.0,2882.94970703,-4906.85629395,17,0.634240456092,0.12649743259,,32249.5993877,0.924490988255,4214.73046875,177.202559214,2878.22143555,16107.650376,0.902130901814,1479.74725175,4195.00634766,340.0,4856.17686231,0.171570241451,41413.0745231,262215
0.155666515231,0.048684971323,767.85,-0.0224934025671,0.041398640722,360.0,2905.03173828,-4929.1861377,18,0.630148597294,0.0906969085336,,32585.4291881,0.922058403492,4216.17480469,176.764161745,2901.46606445,13316.7039307,0.929763019085,1563.81246781,4204.37890625,360.0,4893.79229421,0.171608090401,40756.707127,276426
0.155798748136,0.0467853005131,761.821052632,-0.0194732175329,0.0916089564562,380.0,2924.18701172,-5060.84982422,19,0.624517636025,0.203479796648,,33142.2225271,0.911174535751,4233.49658203,176.149815431,2920.82446289,21428.1700293,0.944715380669,1643.44197178,4212.66503906,380.0,4961.65884748,0.171598553658,40890.6730725,289492
0.155925676227,0.0467853005131,756.6625,-0.0147770025224,0.344264686108,400.0,2932.34008789,-5129.47557617,20,0.620057317684,0.309182971716,,33565.7056331,0.876505732536,4222.43408203,175.630225376,2927.29711914,16246.3181055,0.866685032845,1723.30815697,4202.16503906,400.0,5023.83131532,0.171589106321,41229.6177295,302665
0.155964851379,0.048684971323,758.726190476,-0.00946250249458,0.240669369698,420.0,2934.25585938,-5133.03699219,21,0.618244424153,0.278500050306,,33971.2252242,0.890678584576,4158.83251953,175.891865206,2937.32568359,17922.6114258,0.890454173088,1811.70970941,4152.65234375,420.0,5034.95415728,0.171606749296,41182.5245368,318665
