train/loss_actor,total/steps,reference_action_mean,param_noise_stddev,obs_rms_mean,rollout/episode_steps,reference_Q_std,total/episodes,rollout/episodes,reference_perturbed_action_std,total/steps_per_second,total/epochs,reference_actor_Q_std,reference_perturbed_action_mean,rollout/return,reference_actor_Q_mean,total/duration,rollout/actions_std,rollout/actions_mean,reference_Q_mean,obs_rms_std,train/loss_critic,rollout/return_history,train/param_noise_distance,reference_action_std,rollout/Q_mean
-178.235960236,327953,0.437687397003,0.121607764938,0.608840942383,1490.69545455,41.197593689,220.0,220.0,0.856520950794,324.720977227,11,41.6779556274,0.255911052227,10058.4235009,50.8064193726,1009.95323062,0.636502612437,-0.205383549521,49.3902206421,0.132674470544,196.048200989,19593.831959,,0.81220716238,107.353529923
-226.199618835,373699,0.296880722046,0.121607764938,0.607559084892,1557.07916667,47.4502906799,240.0,240.0,0.641739547253,324.035588064,12,47.1198959351,-0.257767051458,11002.2838565,63.7312393188,1153.26530099,0.63612759345,-0.179179826715,62.6866836548,0.132410138845,371.145017853,20043.4714839,,0.854989588261,137.226134211
-295.486426392,413699,0.559862554073,0.121607764938,0.606563091278,1591.15,61.8726348877,260.0,260.0,0.581294476986,328.167889018,13,61.7288284302,0.495542287827,10492.2392466,83.66847229,1260.63217592,0.651413129027,-0.14986173474,82.3883666992,0.131843015552,367.207526093,20190.968978,,0.764543950558,137.155101505
-339.960462952,449083,0.412842839956,0.121607764938,0.6081828475,1603.86785714,63.1717567444,280.0,280.0,0.878316342831,326.057776256,14,63.8340034485,-0.00656601926312,12570.2312214,86.7916717529,1377.31111693,0.646894281493,-0.134362704633,85.3349838257,0.134315311909,314.697317505,26562.6069792,,0.848376572132,196.750014538
-404.426590576,480295,0.35434615612,0.121607764938,0.609192788601,1600.98333333,75.6491851807,300.0,300.0,0.688396513462,325.854950313,15,76.8444290161,-0.343450337648,14170.2510494,103.557144165,1473.95336342,0.641330948321,-0.149298190087,100.986663818,0.136512547731,347.266698761,30408.9561152,,0.87183868885,219.124770094
-445.339133911,507238,0.257108926773,0.0739422424658,0.609325945377,1585.11875,92.7220230103,320.0,320.0,0.868976414204,322.617556719,16,94.2128601074,0.301112413406,13843.3910822,127.352890015,1572.25789309,0.638754057024,-0.153208890709,124.186035156,0.136440515518,332.720262451,22170.3197611,,0.918686747551,230.132724496
-555.930344238,548464,0.304332733154,0.0449597542038,0.610426604748,1613.12941176,92.9449005127,340.0,340.0,0.84650427103,324.616543007,17,93.8118362427,0.29705414176,16388.393402,135.55897522,1689.5750134,0.642906329471,-0.124160594711,133.405181885,0.137712538242,522.067428131,29315.0563113,,0.865636885166,300.491805478
-624.29112793,584931,0.184422552586,0.0449597542038,0.608993530273,1624.80833333,120.720275879,360.0,360.0,0.92002260685,326.897236846,18,124.908660889,-0.0864625871181,15592.7882864,178.567443848,1789.34213591,0.658585618759,-0.124775487422,171.058044434,0.137448742986,1689.22747803,28854.2157899,,0.945257306099,289.658818711
-718.914694824,615832,0.214177444577,0.0449597542038,0.607611954212,1620.61052632,143.371231079,380.0,380.0,0.880766272545,327.589561688,19,145.704071045,0.301491945982,14886.2276303,211.856658936,1879.88895869,0.66745012948,-0.143232282311,207.562072754,0.137438610196,953.985415955,21371.0175752,,0.93252325058,281.350702216
-745.863245239,655872,0.223178908229,0.0273372761044,0.606373369694,1639.68,174.843460083,400.0,400.0,0.915407836437,331.07674646,20,176.929580688,0.139808192849,14263.0668863,244.911560059,1981.02707911,0.683190163397,-0.167728416601,241.089874268,0.137177035213,846.190169067,14541.514397,,0.913523197174,274.224976313
