reference_action_std,reference_Q_std,param_noise_stddev,obs_rms_mean,rollout/episodes,rollout/Q_mean,train/loss_actor,obs_rms_std,reference_actor_Q_std,total/epochs,rollout/return,total/episodes,rollout/episode_steps,rollout/actions_mean,total/steps,rollout/return_history,reference_action_mean,rollout/actions_std,reference_actor_Q_mean,reference_Q_mean,total/duration,reference_perturbed_action_mean,train/param_noise_distance,train/loss_critic,total/steps_per_second,reference_perturbed_action_std
0.8748883605,193.340377808,0.0211056883402,0.105310417712,440.0,-180.1054037,265.437759399,0.142503604293,193.358474731,22,-8346.49515499,440.0,1756.54545455,-0.0251348960823,772880,-6585.13320778,-0.135724142194,0.597594929845,-173.397766113,-174.206573486,1912.93236613,-0.154195293784,,127.836164665,404.028921086,0.86896365881
0.86758518219,196.494674683,0.0211056883402,0.105539932847,460.0,-182.257719282,264.102876282,0.142103612423,195.725799561,23,-8245.08231869,460.0,1730.56956522,-0.024039833062,796062,-6217.02447749,-0.309800237417,0.6006832204,-173.161437988,-174.834747314,1985.61234403,-0.347545295954,,258.577220211,400.91511437,0.848868310452
0.952981889248,199.390258789,0.0211056883402,0.105682678521,480.0,-181.322175381,271.865875549,0.141699045897,198.559036255,24,-8129.06210671,480.0,1699.37916667,-0.0228939912566,815702,-5685.03257111,0.0665218010545,0.60528022696,-177.654403687,-177.948272705,2049.85477114,0.0217042788863,,157.876753139,397.931605441,0.941203117371
0.903407394886,207.617141724,0.0211056883402,0.106871686876,500.0,-179.189925339,260.966645813,0.141745224595,208.205215454,25,-7334.84293447,500.0,1675.854,-0.0276070200635,837927,-1603.16343383,-0.119344972074,0.605581730419,-175.842514038,-177.706298828,2123.74033785,0.0548506788909,,176.597305107,394.552471913,0.899164199829
0.927292644978,212.874694824,0.0247480794341,0.113286145031,520.0,-147.863728549,212.861180115,0.146896034479,213.064041138,26,-4456.57598501,520.0,1760.00192308,-0.0225684184356,915201,12368.7671254,-0.114665001631,0.596372452078,-170.016342163,-171.611221313,2308.91450286,-0.0461611747742,,241.921009979,396.377171553,0.892259657383
0.911371588707,202.903488159,0.0247480794341,0.119714640081,540.0,-119.347450899,166.362761688,0.150049701333,201.888565063,27,-2421.4376952,540.0,1840.67592593,-0.00715518878687,993965,23648.8151278,-0.26079916954,0.595990505726,-185.320129395,-186.052612305,2514.24824262,-0.333341389894,,205.539861069,395.332880482,0.918655097485
0.943885028362,203.230178833,0.025752950699,0.121110960841,560.0,-110.555478172,149.685376434,0.150502547622,203.990371704,28,-2064.85873205,560.0,1859.025,-0.0124842212851,1041054,26364.1697665,-0.236897870898,0.599200350908,-190.311645508,-192.291305542,2635.09138751,-0.234473183751,,530.479302368,395.073205026,0.933949410915
0.602487444878,220.488967896,0.025752950699,0.120839431882,580.0,-97.1714510696,119.397337208,0.149657517672,220.886367798,29,-1673.48475882,580.0,1884.58103448,-0.0112625858651,1093057,29313.2865111,-0.742162048817,0.601187874296,-187.940917969,-189.371963501,2749.33638906,-0.751483142376,,308.271785507,397.571211856,0.570243597031
0.866666197777,225.890274048,0.0247480794341,0.121892742813,600.0,-79.686436095,70.812511301,0.150341153145,226.543609619,30,-545.308633371,600.0,1905.16666667,-0.0162734763826,1143100,33402.3628721,-0.358889609575,0.603726632445,-193.205657959,-196.093551636,2868.1923666,-0.318313539028,0.219382643551,354.71750824,398.543700664,0.85278314352
0.806779980659,248.448043823,0.0247480794341,0.12151440233,620.0,-80.2412916983,45.5690316582,0.149751335382,249.074630737,31,-800.815870346,620.0,1893.26774194,-0.024801233824,1173826,18209.1367259,-0.395063638687,0.612400356854,-194.499603271,-196.40536499,2952.7234602,-0.543907821178,,286.075136185,397.540106896,0.7337474823
