reference_Q_mean,total/episodes,param_noise_stddev,reference_action_mean,reference_actor_Q_mean,total/steps,reference_action_std,rollout/return_history,rollout/actions_std,reference_perturbed_action_mean,rollout/return,rollout/actions_mean,obs_rms_mean,total/steps_per_second,rollout/Q_mean,total/duration,total/epochs,rollout/episodes,train/loss_critic,train/loss_actor,reference_Q_std,reference_perturbed_action_std,rollout/episode_steps,train/param_noise_distance,reference_actor_Q_std,obs_rms_std
189.061676025,800.0,0.0432054400826,0.152225703001,196.400543213,937465,0.980365633965,122084.467058,0.450055846916,0.185698702931,40990.5126271,0.0317176784345,0.196046739817,298.082570422,1435.52219334,3144.98428631,40,800.0,7387.52637085,-2552.44069092,350.118713379,0.961332082748,1171.83125,,352.717926025,0.227502569556
229.465026855,820.0,0.0432054400826,-0.15777400136,240.126281738,950353,0.973619580269,86037.701056,0.452033972426,-0.0781548172235,40691.1648406,0.0334468357039,0.196632966399,296.555799987,1465.30790027,3204.63467598,41,820.0,5289.36790039,-2825.21287109,383.028625488,0.936749577522,1158.96707317,,390.504608154,0.227688804269
267.284545898,840.0,0.0432054400826,-0.189089596272,280.5440979,954009,0.974302887917,71856.5846922,0.454295133253,-0.162646755576,39694.5238173,0.0360040576509,0.196391478181,294.300786566,1461.97419731,3241.61213136,42,840.0,13189.3916406,-2870.96063965,388.668365479,0.96125715971,1135.725,,401.219543457,0.227624431252
240.038162231,860.0,0.0432054400826,-0.185710504651,257.913818359,992938,0.970196545124,90375.2800078,0.447898554089,-0.10335675627,43121.0083277,0.034191965676,0.201923504472,294.576141514,1663.83781021,3370.73462534,43,860.0,8643.00223633,-3205.61614746,388.644195557,0.929315388203,1154.57906977,,397.85760498,0.228678762913
282.516693115,880.0,0.0432054400826,-0.106558777392,296.763427734,1017579,0.971487939358,95172.3959155,0.445231351811,-0.121850967407,44552.438878,0.0338121662452,0.204501330853,293.872047643,1770.85251541,3462.66005278,44,880.0,10892.297688,-3254.49686035,365.999267578,0.986092567444,1156.33977273,,373.31362915,0.229013875127
293.21685791,900.0,0.0432054400826,-0.158735856414,300.328643799,1036545,0.973272562027,77959.3475489,0.444800074992,-0.11796194315,45098.1609517,0.0360636269638,0.206456139684,292.904841018,1844.40872762,3538.84557319,45,900.0,20186.1194385,-3448.25487793,361.723022461,0.985300242901,1151.71666667,,362.024902344,0.229505971074
315.900512695,920.0,0.0432054400826,-0.113153897226,331.589172363,1054037,0.989770650864,84703.6063646,0.443348780063,-0.0152464909479,45475.1258758,0.0366472097135,0.207130923867,292.811055354,1912.28604151,3599.71722627,46,920.0,8144.15422852,-3751.86896973,393.799407959,0.950076758862,1145.6923913,,401.919891357,0.229100450873
336.290435791,940.0,0.0458634452633,-0.13555406034,366.468811035,1072750,0.98058950901,96967.8403503,0.44182777434,-0.127007737756,45787.4298315,0.0358194229787,0.208521962166,292.138167513,1980.78968324,3672.06383586,47,940.0,37997.6751099,-3995.02444824,427.499969482,0.958232164383,1141.22340426,0.21428414017,447.440490723,0.229123964906
385.702697754,960.0,0.0407014789669,0.227377638221,406.63659668,1087950,0.936743438244,69620.5260747,0.441052152265,0.245155215263,45881.3747597,0.0365518704841,0.209143444896,291.22665518,2032.29732929,3735.75007868,48,960.0,14759.8234326,-4016.1657373,449.858703613,0.928557932377,1133.28125,0.227289051116,462.829803467,0.228881627321
393.391815186,980.0,0.0407014789669,0.011728413403,402.665588379,1116933,0.957583129406,71125.966559,0.438022792483,0.150747045875,47264.0233353,0.0376095683144,0.21171079576,291.248124547,2140.12136483,3834.98778486,49,980.0,13530.6083789,-4366.51679688,468.40512085,0.965108633041,1139.72755102,,474.156280518,0.229775324464
405.842895508,1000.0,0.0407014789669,-0.0859118774533,421.621826172,1143833,0.967331886292,82929.3116058,0.435088924381,0.18315410614,48881.2760171,0.0373521436181,0.214075535536,291.009989658,2261.7595231,3930.56266332,50,1000.0,43304.0683057,-4563.90862793,475.125549316,0.943567991257,1143.833,,485.911437988,0.22979581356
