train/param_noise_distance,reference_action_std,total/episodes,rollout/actions_std,total/steps,total/duration,reference_Q_mean,train/loss_critic,obs_rms_mean,train/loss_actor,reference_actor_Q_mean,rollout/episode_steps,rollout/Q_mean,obs_rms_std,reference_action_mean,rollout/return,rollout/episodes,param_noise_stddev,reference_actor_Q_std,reference_perturbed_action_mean,rollout/actions_mean,total/steps_per_second,total/epochs,reference_Q_std,reference_perturbed_action_std,rollout/return_history
,0.964363515377,1700.0,0.502176871987,2763415,8279.10675478,1863.25,16048.7325146,0.245319992304,-9718.39800781,1978.94506836,1625.53823529,5455.68047763,0.215276122093,-0.0337374918163,98007.9413153,1700.0,0.0278867553541,766.598144531,-0.0512475818396,-0.0245215934073,333.781781278,85,747.402587891,0.953628003597,213728.883446
,0.970237016678,1720.0,0.498807524679,2812740,8428.67321801,2092.23925781,73582.8186865,0.246746689081,-9817.71412109,2179.10791016,1635.31395349,5551.26259265,0.215138733387,-0.00734081538394,100157.904315,1720.0,0.0278867553541,812.291503906,0.242559969425,-0.0235661247431,333.710885124,86,800.203125,0.96239823103,228895.885807
,0.979526400566,1740.0,0.496951420707,2855681,8550.03062868,1932.54052734,76927.9567871,0.247224032879,-9739.73921875,2031.40039062,1641.19597701,5613.05557261,0.214943110943,-0.035213585943,101357.596724,1740.0,0.0278867553541,778.946411133,0.0402241684496,-0.0228037012567,333.996581301,87,768.744262695,0.955034911633,233376.058907
,0.8872590065,1760.0,0.49489922604,2892839,8670.62216187,2086.70117188,97818.3716504,0.248166292906,-9892.25267578,2163.33496094,1643.65852273,5674.83410094,0.214999824762,-0.284373641014,102478.33785,1760.0,0.0278867553541,810.383239746,-0.157064571977,-0.0222324258781,333.636842431,88,792.070922852,0.944381535053,227696.941934
,0.951441645622,1780.0,0.494770896823,2936924,8802.33038902,1969.13842773,59899.9129199,0.248744130135,-9955.21494141,2038.89831543,1649.95730337,5722.07057468,0.214998066425,0.0132353389636,103405.713844,1780.0,0.0296023527432,798.913208008,-0.156917542219,-0.020294746022,333.65300667,89,797.452575684,0.910014629364,235777.428194
,0.954092621803,1800.0,0.492733844596,2982195,8936.86555099,2086.52319336,20656.1511621,0.249613150954,-9733.33833984,2141.60449219,1656.775,5790.28058684,0.214934438467,0.187380120158,104725.728735,1800.0,0.0296023527432,848.64654541,0.0754441544414,-0.0197397549244,333.695856,90,838.436279297,0.948680698872,218928.114873
,0.966487526894,1820.0,0.490748998453,3019552,9053.89309525,2223.59350586,25325.8693359,0.250275224447,-9895.69392578,2285.81201172,1659.09450549,5843.53666942,0.214783966541,0.0808646455407,105593.735628,1820.0,0.0296023527432,865.27355957,-0.0608602277935,-0.0193692627962,333.508687173,91,849.813049316,0.937312841415,199090.034227
,0.954258620739,1840.0,0.488691229809,3056506,9175.87695289,2293.11376953,12546.819353,0.251081436872,-9965.71681641,2376.27954102,1661.14456522,5902.64009846,0.214620143175,0.202004551888,106599.765362,1840.0,0.0296023527432,919.440063477,0.0775032266974,-0.0188229823212,333.102330785,92,888.713195801,0.972017765045,197813.499678
,0.979282855988,1860.0,0.487383040617,3095314,9307.41919446,2401.7097168,76989.1173535,0.251824915409,-10064.6652344,2470.71850586,1664.14731183,5958.03065073,0.214695394039,0.0492527224123,107690.405173,1860.0,0.0296023527432,891.808410645,0.0327615402639,-0.0193114357506,332.564155039,93,862.358398438,0.930345058441,199422.790051
,0.981520950794,1880.0,0.485666400209,3136831,9450.88043642,2387.76855469,62354.0670264,0.252637028694,-10252.674043,2466.06982422,1668.52712766,6021.22361355,0.214485660195,0.121278941631,108995.534596,1880.0,0.0296023527432,1013.89709473,0.190303489566,-0.0188141552316,331.908865116,94,985.830993652,0.952526509762,208494.343978
,0.955296039581,1900.0,0.484366300732,3175790,9589.91562676,2516.83227539,10355.9702441,0.253476023674,-10106.7783984,2590.10498047,1671.46842105,6074.24719726,0.214481920004,0.255407333374,109928.535991,1900.0,0.0296023527432,1010.1071167,0.226768657565,-0.0184851247264,331.159326484,95,986.618347168,0.970045864582,203579.066603
,0.971399903297,1920.0,0.483146025056,3207631,9708.01032019,2587.23730469,15676.8529102,0.253966391087,-10213.4578906,2639.77197266,1670.64114583,6119.05350161,0.21425293386,0.14792253077,110483.645124,1920.0,0.0354087795082,1128.07995605,0.305263161659,-0.0181275172664,330.410752997,96,1104.97717285,0.931040287018,199479.997951
,0.965909183025,1940.0,0.481645793571,3249968,9848.33043432,2520.56298828,25619.027583,0.254602849483,-10266.4667578,2572.015625,1675.24123711,6175.47482193,0.214119151235,0.101696312428,111591.542644,1940.0,0.0391133212786,1071.24633789,0.138321354985,-0.0178763653364,330.001924862,97,1049.38134766,0.963975846767,203440.244629
,0.977228283882,1960.0,0.480163352703,3294154,9988.59075165,2609.04882812,17374.8057959,0.255110085011,-10195.0151562,2610.87963867,1680.69081633,6226.09813812,0.213938653469,0.152867302299,112524.392567,1960.0,0.0391133212786,1099.02893066,0.139363244176,-0.0180777968897,329.791667504,98,1065.51281738,0.913901150227,202436.558102
,0.966950893402,1980.0,0.478406916442,3337818,10122.9997685,2714.34228516,33525.6638135,0.255776762962,-10273.2259375,2744.63989258,1685.76666667,6280.0434071,0.213840276003,0.191035270691,113467.792037,1980.0,0.0391133212786,1069.91271973,0.174246117473,-0.0177348303147,329.726175673,99,1032.36645508,0.96453756094,197546.231928
,0.963978648186,2000.0,0.476722993898,3381680,10255.2855041,2720.54638672,60027.841416,0.256628632545,-10352.8822266,2696.66845703,1690.84,6339.07088731,0.213825389743,-0.0481987558305,114570.363509,2000.0,0.0415195786941,1040.20605469,-0.139716789126,-0.0174237038974,329.749961485,100,1014.19677734,0.945641160011,202765.086347
,0.970415174961,2020.0,0.475073421244,3423836,10399.5230911,2742.71630859,17780.8331738,0.25747308135,-10531.9570703,2729.66381836,1694.96831683,6394.55120883,0.213671594858,0.148215726018,115640.571477,2020.0,0.0415195786941,1168.3371582,-0.0261147189885,-0.0167403082594,329.230097382,101,1127.23510742,0.913732051849,214653.557455
,0.969686210155,2040.0,0.47404980472,3464579,10517.4557018,2725.26635742,22593.4229761,0.257651716471,-10393.8749219,2696.69335938,1698.32303922,6436.06804145,0.213401705027,0.135916635394,116325.604366,2040.0,0.0407014789669,1175.69665527,0.287229388952,-0.0168753333102,329.412274054,102,1147.33972168,0.927410244942,208166.401774
,0.92718487978,2060.0,0.47221155425,3504902,10646.1692541,2699.02539062,24948.6249268,0.258426308632,-10453.5211719,2675.52441406,1701.40873786,6490.1012325,0.213339939713,0.0391149632633,117314.052662,2060.0,0.0407014789669,1106.07019043,0.167014524341,-0.0167128951916,329.217196943,103,1084.24206543,0.92036819458,211191.390536
,0.958678781986,2080.0,0.471237896522,3544753,10763.2115264,2811.12597656,29879.1790332,0.258801937103,-10572.927207,2798.93652344,1704.20817308,6534.32137162,0.213243514299,-0.16417644918,118122.029679,2080.0,0.0407014789669,1130.84484863,-0.0857192054391,-0.0158698258185,329.339713459,104,1098.08935547,0.949106633663,210275.93498
,0.960014879704,2100.0,0.469110040777,3594698,10921.8530362,2700.98730469,22814.0802734,0.259638369083,-10562.194668,2703.82373047,1711.76095238,6597.70947878,0.212946608663,0.114917613566,119452.008434,2100.0,0.0432054400826,978.848144531,0.297647744417,-0.0157270792316,329.128948,105,960.637756348,0.939803719521,217084.906937
,0.939279794693,2120.0,0.466746386433,3643286,11085.6016259,2634.01806641,53151.7310376,0.260559022427,-10654.4536523,2633.44335938,1718.53113208,6657.91754063,0.212747424841,0.133843556046,120752.529169,2120.0,0.0432054400826,955.305297852,0.132470414042,-0.0154315157141,328.650272934,106,924.27355957,0.944785475731,224014.074542
,0.934700667858,2140.0,0.465813050253,3682796,11220.2020931,2664.50415039,22034.9630469,0.261051774025,-10682.6248437,2693.01171875,1720.93271028,6697.55200912,0.212620705366,0.298148572445,121388.442035,2140.0,0.0432054400826,968.645446777,0.266915559769,-0.014446723488,328.229025595,107,935.879699707,0.914429545403,224670.330478
,0.933386206627,2160.0,0.464058659518,3725662,11373.8062711,2740.64672852,53834.1759033,0.261836618185,-10736.8366406,2734.69946289,1724.84351852,6745.42662122,0.212532222271,-0.143362388015,122279.56356,2160.0,0.0407014789669,899.780822754,-0.520309209824,-0.0136211810918,327.565101005,108,856.876586914,0.752485394478,224569.088053
,0.937716245651,2180.0,0.462516604833,3768133,11502.9158385,2716.52001953,21872.4523437,0.262351602316,-10579.0437695,2747.01367188,1728.50137615,6786.77327728,0.21240913868,-0.135532125831,123084.773583,2180.0,0.0407014789669,902.030700684,-0.354475826025,-0.0132771732248,327.580680665,109,862.162536621,0.861108481884,226309.846803
,0.922992348671,2200.0,0.461329072503,3804147,11625.4594789,2744.29443359,37771.3884033,0.262950211763,-10483.6011719,2796.99316406,1729.15772727,6827.34405513,0.212382853031,0.278949409723,123795.276781,2200.0,0.0407014789669,799.374023438,0.290817767382,-0.0128749311236,327.225518004,110,762.884155273,0.923619687557,215003.912069
,0.943875968456,2220.0,0.459622276887,3847573,11771.9969873,2678.83081055,19495.284873,0.263669192791,-10863.5435547,2736.29370117,1733.14099099,6875.9176565,0.212157592177,0.218181923032,124744.568097,2220.0,0.0407014789669,814.707214355,0.263825029135,-0.0126745478865,326.841147185,111,781.864868164,0.924361765385,209375.793377
,0.935868918896,2240.0,0.458317716778,3888677,11909.3523409,2784.50927734,39599.0898242,0.264152914286,-10658.0668359,2819.640625,1736.01651786,6913.63788295,0.212070122361,0.242717310786,125292.204886,2240.0,0.0407014789669,754.957275391,0.174436256289,-0.012502057601,326.522961843,112,717.440307617,0.933298110962,208832.729898
,0.932645201683,2260.0,0.457439910381,3917255,12010.4551609,2627.7277832,22192.24125,0.264422923326,-10751.5197852,2661.09667969,1733.29867257,6939.51338852,0.211981147528,0.263937264681,125470.08784,2260.0,0.0407014789669,817.879760742,0.305841416121,-0.0120803367025,326.153750839,113,791.692260742,0.933718085289,194385.412291
,0.954368412495,2280.0,0.45631077257,3956741,12132.4711177,2768.46704102,20475.1918018,0.264608860016,-10695.0017187,2832.43505859,1735.4127193,6971.89400398,0.211912214756,-0.0755546018481,126020.042679,2280.0,0.0407014789669,813.258361816,0.157796576619,-0.0119687667766,326.128202705,114,786.822143555,0.929664433002,190008.90896
,0.934435069561,2300.0,0.454485433442,3999037,12263.2466786,3180.93457031,25693.0447754,0.265048593283,-10756.6473633,3242.94311523,1738.71173913,7012.64548147,0.211724251509,0.275937825441,126730.511098,2300.0,0.0407014789669,807.097473145,0.224899694324,-0.0117134121504,326.099368692,115,780.292785645,0.94407761097,191305.666059
,0.948568701744,2320.0,0.452702016766,4049565,12434.8453345,2783.40185547,28222.7642773,0.265847027302,-10712.4709766,2851.90673828,1745.50215517,7064.79690715,0.211524903774,-0.0983693599701,127928.132305,2320.0,0.0407014789669,827.974487305,0.0501341111958,-0.0110322017111,325.662675414,116,826.739074707,0.932546854019,198603.257708
,0.929317295551,2340.0,0.452068323741,4086530,12559.5058689,2698.18359375,55166.9838721,0.266101926565,-10824.0362695,2760.00927734,1746.38034188,7094.52932708,0.211402475834,0.24189324677,128388.576432,2340.0,0.0398994990363,810.413696289,0.160866215825,-0.0103204057314,325.373469518,117,799.086669922,0.928374052048,197747.299055
,0.949258208275,2360.0,0.451676176389,4123431,12689.3790295,2792.30908203,71125.549668,0.266340523958,-10719.8925586,2879.42285156,1747.21652542,7121.02572287,0.2113276124,0.128748133779,128753.689247,2360.0,0.0432054400826,860.448242188,0.142756745219,-0.00923263611725,324.951362112,118,849.546875,0.948049247265,202963.081032
,0.968415856361,2380.0,0.450418879537,4162570,12832.44912,2770.68798828,104764.905259,0.266914188862,-10799.9405664,2862.69433594,1748.9789916,7156.70085166,0.211224466562,-0.0464751422405,129300.940375,2380.0,0.0432054400826,838.803833008,0.0602081306279,-0.00898477039312,324.378453486,119,834.164245605,0.942456483841,204105.407852
,0.970855891705,2400.0,0.449212568454,4200075,12952.533684,2826.85888672,18445.8905371,0.2673394382,-10699.8300391,2904.06103516,1750.03125,7193.21064272,0.211214825511,-0.0750479996204,129942.404251,2400.0,0.0383426343286,890.394775391,0.12214204669,-0.00881741795725,324.266672642,120,874.100585938,0.972696363926,203815.946787
,0.936553299427,2420.0,0.448555981113,4238608,13086.3248668,2746.25927734,21405.6251318,0.267859518528,-10775.684082,2840.2890625,1751.49090909,7226.74649736,0.211212828755,0.227070078254,130503.488405,2420.0,0.0383426343286,886.169067383,0.0984870418906,-0.00816977710688,323.895978676,121,861.632202148,0.938590824604,190251.74994
