obs_rms_mean,rollout/return,rollout/actions_mean,train/param_noise_distance,reference_action_mean,reference_perturbed_action_mean,rollout/episodes,reference_Q_std,rollout/episode_steps,total/steps_per_second,total/duration,reference_actor_Q_mean,reference_perturbed_action_std,rollout/return_history,total/steps,param_noise_stddev,rollout/Q_mean,train/loss_critic,reference_action_std,obs_rms_std,total/epochs,rollout/actions_std,reference_actor_Q_std,train/loss_actor,total/episodes,reference_Q_mean
0.0964124947786,3827.34429736,0.38466154311,,-0.173574909568,-0.251467317343,320.0,186.92288208,780.64375,181.257386273,1378.18383646,429.707000732,0.792248308659,4196.23717551,249806,0.0769445940183,198.92273019,1580.98943481,0.895828962326,0.169850856066,16,0.525829035996,193.240585327,-510.506113892,320.0,420.92388916
0.0984093546867,4338.93921961,0.361896357246,,-0.0783706530929,0.0469021722674,340.0,179.071380615,761.658823529,179.286637053,1444.41328287,433.10043335,0.850652337074,5185.35303622,258964,0.0769445940183,229.17948804,1682.89810791,0.916598975658,0.171999886632,17,0.53620287749,187.170288086,-547.21085083,340.0,412.264465332
0.099158205092,4418.34860719,0.33527357834,,-0.124316439033,0.114247322083,360.0,176.998428345,745.111111111,177.461619606,1511.53810382,434.647521973,0.899810254574,5495.53167459,268240,0.0769445940183,247.656372591,1324.81682312,0.905584573746,0.172659337521,18,0.551083048588,182.543777466,-589.689711914,360.0,429.405822754
0.100616723299,4763.8754862,0.33044155864,,0.0202424060553,0.206323638558,380.0,207.415481567,743.784210526,177.328413593,1593.86752677,478.321655273,0.893284916878,7168.38955614,282638,0.0769445940183,282.002093306,2219.29800049,0.897318005562,0.173303693533,19,0.547869707689,219.646118164,-632.251650391,380.0,446.509521484
0.102009728551,4994.35138635,0.331799800768,,-0.059197627008,0.1625238657,400.0,260.285827637,733.3525,176.168857228,1665.1126914,536.051391602,0.908848941326,8558.10043218,293341,0.0477256850534,310.865131829,2668.57963928,0.931475162506,0.174437850714,20,0.546362778826,281.213012695,-682.510480957,400.0,529.183410645
0.103853203356,5160.93536508,0.341221907955,,0.270341396332,0.302148967981,420.0,295.191436768,735.897619048,176.343582358,1752.69774985,548.975036621,0.930814146996,9428.42678178,309077,0.0477256850534,349.099795735,3201.6632019,0.921298921108,0.174742117524,21,0.544791558105,315.471374512,-765.307312012,420.0,538.739135742
0.104778990149,5258.33981216,0.352605642281,,0.0317902155221,0.248454362154,440.0,349.408325195,734.190909091,176.078163743,1834.66247678,691.843017578,0.811406612396,8384.30182683,323044,0.0477256850534,381.565272204,4156.41734741,0.896288990974,0.174858942628,22,0.545457245532,371.10269165,-794.362058105,440.0,648.656799316
0.10522492975,5339.70163093,0.341392271445,,0.43602758646,0.408810794353,460.0,349.341522217,744.480434783,177.184118911,1932.79737544,712.162475586,0.795908033848,8656.57251642,342461,0.0206898228999,414.894482925,3866.8704126,0.768598258495,0.174220919609,23,0.546263141341,358.583587646,-859.339433594,460.0,709.558959961
0.106607675552,5684.73990535,0.344683319167,,0.0125536005944,-0.110328570008,480.0,368.982208252,749.079166667,177.635790299,2024.13038158,778.893371582,0.767516195774,9184.02469811,359558,0.0206898228999,449.51229889,3012.16895874,0.871418654919,0.175777927041,24,0.544081477509,384.712402344,-920.410617676,480.0,762.068847656
0.108437590301,6138.08377087,0.346475536601,,-0.164620056748,-0.0547222942114,500.0,398.733062744,754.182,178.116851483,2117.0989542,865.787658691,0.871386706829,10713.0133089,377091,0.0191067043242,493.296042949,4228.41816528,0.826923787594,0.177421316504,25,0.540973570765,395.119567871,-1022.67372559,500.0,855.619628906
0.110027730465,6513.16057054,0.342243446752,,-0.0722475498915,-0.0873328447342,520.0,365.228149414,761.532692308,179.033616317,2211.85835457,849.923095703,0.881473302841,12192.5064335,395997,0.0191067043242,535.295220573,3558.67704468,0.902182877064,0.178102135658,26,0.537157397754,381.299926758,-1045.351875,520.0,835.120605469
0.111604884267,6963.49666245,0.348725207578,,0.151497468352,0.106207020581,540.0,452.60760498,766.892592593,179.682303066,2304.74561453,921.657409668,0.88330078125,14466.1868037,414122,0.0191067043242,574.916147155,3363.46093628,0.900706708431,0.178665995598,27,0.537372750568,462.884643555,-1091.61917969,540.0,907.202636719
0.111662119627,7141.5908215,0.357395166634,,-0.24991953373,-0.285854160786,560.0,497.805328369,780.296428571,181.00737116,2414.0784831,953.57043457,0.828337788582,15430.2810981,436966,0.0191067043242,602.200781561,6004.20351196,0.772143185139,0.178673058748,28,0.538997947529,525.47857666,-1085.91989258,560.0,919.159423828
0.112025484443,7312.09899661,0.361996946106,,0.0488727241755,0.134707897902,580.0,551.041137695,797.262068966,182.700431472,2530.98471785,1010.88391113,0.83843511343,15123.4226347,462412,0.0191067043242,633.549704147,2819.73921387,0.831613481045,0.178225934505,29,0.535968439755,560.948547363,-1162.78862549,580.0,993.437011719
0.112389229238,7462.96336486,0.37074257148,,0.104013986886,0.0957320779562,600.0,538.18536377,826.211666667,185.519407052,2672.10319328,1020.61633301,0.845195353031,14087.3613348,495727,0.0191067043242,666.032404575,4126.34369751,0.86105209589,0.177091822028,30,0.530831639539,544.32208252,-1170.99215576,600.0,1005.12365723
0.11358372122,7844.51971009,0.354223468254,,0.00717698130757,0.109916783869,620.0,584.473632812,835.117741935,186.241513328,2780.11594057,1112.91162109,0.855887115002,14767.5872358,517773,0.0191067043242,699.458759685,4287.74505981,0.848471105099,0.177002519369,31,0.530962575516,601.418029785,-1186.25584595,620.0,1083.34973145
0.115321159363,8347.29586569,0.346712787492,,0.10031016916,0.0645156726241,640.0,605.308776855,830.26875,185.577144708,2863.34829021,1114.73217773,0.88389313221,15819.8115632,531372,0.0191067043242,741.418902766,3552.3316925,0.893331944942,0.177587360144,32,0.528674634731,614.752380371,-1214.35738892,640.0,1092.53857422
0.116950035095,8848.97494278,0.340667325523,,0.103090450168,0.141846477985,660.0,590.971069336,831.38030303,185.681285042,2955.1228056,1169.12023926,0.881610989571,18410.326022,548711,0.0187302267662,784.077324763,3449.45860229,0.874066054821,0.177697688341,33,0.527622613217,589.770324707,-1250.32109619,660.0,1152.08068848
0.118226334453,9237.25459722,0.328578592593,,0.0898189544678,0.157351344824,680.0,551.295837402,834.763235294,185.909047095,3053.31563401,1199.8737793,0.842863202095,20403.1570808,567639,0.0187302267662,817.489231692,4080.49388672,0.867867827415,0.177197396755,34,0.526882036906,563.587768555,-1302.365,680.0,1174.61401367
