reference_actor_Q_std,reference_Q_mean,reference_Q_std,rollout/episodes,reference_perturbed_action_mean,obs_rms_mean,rollout/return_history,train/loss_critic,total/steps,reference_action_std,reference_action_mean,rollout/Q_mean,train/loss_actor,rollout/return,total/duration,total/steps_per_second,rollout/actions_std,reference_actor_Q_mean,rollout/episode_steps,total/epochs,total/episodes,reference_perturbed_action_std,rollout/actions_mean,obs_rms_std,param_noise_stddev,train/param_noise_distance
2416.86987305,7555.68554688,2417.58398438,380.0,-0.161514624953,0.17420655489,151904.453475,22617.1823145,592539,0.908633410931,-0.0400784239173,6431.64152277,-7984.31669922,119941.714884,3102.55814385,190.984011427,0.583285553431,7572.81884766,1559.31315789,19,380.0,0.928639233112,-0.0151649440938,0.177705928683,0.055962119108,
2428.03222656,7649.12060547,2429.37109375,400.0,0.0969178080559,0.17493724823,162174.091891,19716.8120996,625159,0.904752790928,-0.0255636963993,6553.03949566,-8074.46378906,121983.867506,3271.7130723,191.080020217,0.573379272798,7667.02050781,1562.8975,20,400.0,0.899204611778,-0.0137521601495,0.178181827068,0.055962119108,
2471.7409668,7725.12890625,2471.16748047,420.0,0.0179138444364,0.175987675786,194177.924055,22438.4871973,669018,0.90505862236,-0.0176120474935,6740.11214398,-8302.45863281,127842.760046,3481.60566449,192.157890488,0.56047487441,7742.04199219,1592.9,21,420.0,0.922621905804,-0.0108670756807,0.178863510489,0.055962119108,
2522.29711914,7761.18603516,2522.88574219,440.0,-0.0481848046184,0.176889002323,193984.670312,35209.3877734,709440,0.902082800865,-0.0159451495856,6868.23289857,-8346.28763672,131097.050306,3680.59345126,192.751524827,0.548805757618,7778.95068359,1612.36363636,22,440.0,0.910579204559,-0.0101982767171,0.179515272379,0.055962119108,
2584.08789062,7772.6953125,2584.40087891,460.0,-0.0170815456659,0.177675917745,191626.915568,23905.6243164,750250,0.910442709923,-0.0483093038201,6974.4481368,-8380.49376953,133792.905635,3878.60167336,193.433114092,0.539466462619,7791.45996094,1630.97826087,23,460.0,0.907441794872,-0.00981434247915,0.180089443922,0.055962119108,0.20832045421
2592.66455078,7845.57226562,2594.96801758,480.0,0.0352209508419,0.178849563003,205339.007131,23838.7224219,794499,0.907858669758,0.00765874888748,7125.75954191,-8589.68724609,137732.817435,4105.12145734,193.538488022,0.527466793864,7862.03466797,1655.20625,24,480.0,0.914715766907,-0.00759779768383,0.180915981531,0.055962119108,
2592.14746094,7860.57128906,2591.73413086,500.0,-0.0356407277286,0.179860934615,221047.535402,20864.9950635,841630,0.91342318058,0.00773766310886,7254.60782867,-8647.78248047,141796.601085,4329.65965796,194.387103488,0.51787597675,7879.62255859,1683.26,25,500.0,0.917151272297,-0.00454728214129,0.18158864975,0.055962119108,
2630.32641602,7908.79638672,2628.69311523,520.0,-0.0780023634434,0.1808501333,217226.261146,48975.2171875,885464,0.918422758579,-0.0279136188328,7376.176203,-8804.35433594,145031.894873,4533.54375339,195.313875451,0.509146509543,7927.81445312,1702.81538462,26,520.0,0.924428761005,-0.00379293027537,0.182137310505,0.055962119108,
2699.67822266,7925.21044922,2697.07885742,540.0,0.0313130244613,0.181905850768,232715.489809,26290.6994531,938072,0.920133590698,-0.0308852251619,7519.11508208,-8935.5440625,149915.279843,4770.64364362,196.63426365,0.500583252143,7942.69824219,1737.17037037,27,540.0,0.903081595898,-0.00540161475935,0.182669535279,0.055962119108,
2712.23486328,7963.99560547,2712.42333984,560.0,-0.0786348283291,0.182465925813,227766.725627,23437.3209375,971188,0.926351368427,-0.0788837745786,7591.30641493,-8978.10259766,150573.944919,4927.09537268,197.111670577,0.496465425504,7982.11328125,1734.26428571,28,560.0,0.933515548706,-0.00487671571294,0.182966560125,0.055962119108,
